cand_id,name,age,party_id,spl_attribute_id
cand225,"KOTLA JAYA SURYA PRAKASH REDDY",67,TDP,225
cand226,"Dr. PARTHASARATHI VALMIKI",48,BJP,226
cand227,"K. PRABHAKARA REDDY",58,CPIM,227
cand228,"AYUSHMAN DOCTOR SANJEEV KUMAR",52,YSRCP,228
cand229,"ABDUL WARIS",58,SDPI,229
cand230,"KASULA RAJASEKHAR",46,PPOI,230
cand231,"DANDU SESHU YADAV",39,SP,231
cand232,"M. NAGANNA",66,SUCI(C),232
cand233,"S.MD. SHAFATH",30,RRS,233
cand234,"G Sanjeeva Kumar",38,SMFB,234
cand235,"H. THOMAS",47,IND,235
cand236,"DEVARAPOGU MADDILETY",45,IND,236
cand237,"BALIJA. SHIVA KUMAR",40,IND,237
cand238,"T. BEECHUPALLY",26,IND,238
cand239,"SRIHARI. P. V.",51,IND,239
cand240,D.JAGADEESH,58,CPI,240
cand241,"TALARI RANGAIAH",48,YSRCP,241
cand242,"J.C. PAVAN REDDY",45,TDP,242
cand243,"K.RAJIV REDDY",29,INC,243
cand244,"HAMSA DEVINENI",33,BJP,244
cand245,"GADIDAMA RANGANAYAKULU",43,VJNP,245
cand246,"P.RADHA KRISHNA",40,RD,246
cand247,"G. LALITHA",56,SUCI(C),247
cand248,M.VENKATESULU,48,PPOI,248
cand249,"S.V.P. YADAV",51,IND,249
cand250,"P. RANGAIAH",48,IND,250
cand251,"L. RANGAIAH",70,IND,251
cand252,"VADDE KASINATH",28,IND,252
cand253,"SOMANATH DESHMUKH",50,IND,253
cand254,"KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR)",41,INC,254
cand255,"KURUVA GORANTLA MADHAV",50,YSRCP,255
cand256,"KRISTAPPA . NIMMALA",63,TDP,256
cand257,"MITTA PARTHASARATHI",60,BJP,257
cand258,"Ram Mohan Singamneni",33,PPOI,258
cand259,S.R.Anjaneyulu,35,IND,259
cand260,"GOGULA PULAKUNTA JAYANTH",61,IND,260
cand261,"Mugi Surya Prakash",63,IND,261
cand262,"Ramamohan D.G.",51,IND,262
cand263,"Y.S.Avinash Reddy",34,YSRCP,263
cand264,"Adi Narayana Reddy Chadipirala",61,TDP,264
cand265,"Gundlakunta Sreeramulu",42,INC,265
cand266,"Gujjula Eswaraiah",50,CPI,266
cand267,"Sri Rama Chandra Singareddy",50,BJP,267
cand268,"Ameen Peeran",48,ANC,268
cand269,"Putha Lakshmi Reddy",32,RDHP,269
cand270,"Pedakala Varalakshmi",43,PPOI,270
cand271,"C S N Reddy",53,NRCP,271
cand272,"Anna Siva Chandra Reddy",39,AYSRCP,272
cand273,"Gona Purushottam Reddy",40,IND,273
cand274,"Jakku Chenna Krishna Reddy",44,IND,274
cand275,"Nyamatulla Shaik",31,IND,275
cand276,"P. S. S. Reddy",54,IND,276
cand277,"R. Venu Gopal",39,IND,277
cand278,"Adala Prabhakara Reddy",70,YSRCP,278
cand279,"Chandra Rajagopal",67,CPIM,279
cand280,"Chevuru Devakumar Reddy",61,INC,280
cand281,"Beeda Masthan Rao",60,TDP,281
cand282,"Sannapureddy Suresh Reddy",58,BJP,282
cand283,"Chinni Venkateswarlu",67,PPOI,283
cand284,"Shaik Mahaboob Basha (Mabu)",35,RPI(A),284
cand285,"Kankanala Penchala Naidu",50,IND,285
cand286,"Narasapuram Prasad",50,IND,286
cand287,"Butti Nagaraju",49,IND,287
cand288,"Meda Malla Reddy",68,IND,288
cand289,"Sukapalli Naveen",33,IND,289
cand290,"Dr. S. Suresh Babu",42,IND,290
cand291,Chintamohan,64,INC,291
cand292,"Doctor Daggumati Sreehari Rao",52,BSP,292
cand293,"Panabaka Lakshmi",60,TDP,293
cand294,"Balli Durga Prasad Rao",63,YSRCP,294
cand295,"Bommi Srihari Rao",44,BJP,295
cand296,"Karra Siva (Pyramid Siva)",29,PPOI,296
cand297,"Neeruguttu Nagesh, M.A., Philosophy",32,JPD,297
cand298,"Bokkam. Ramesh",43,VCK,298
cand299,"Viruvuru Sudhakar",36,VJNP,299
cand300,"M. Solomon",65,ARPS,300
cand301,"Kattamanchi Prabhakar",50,IND,301
cand302,"K.S. Munirathnam",65,IND,302
cand303,"P.V.MIDHUN REDDY",42,YSRCP,303
cand304,"M.SHAJAHAN BASHA (JAHA)",48,INC,304
cand305,"D A SATHYA PRABHA",68,TDP,305
cand306,"ASADI. VENKATADRI",60,RKSP,306
cand307,"KARIMULLA KHAN PATTAN",40,NAVAP,307
cand308,"KHADER VALI SHAIK",35,IUML,308
cand309,"SYED MUKARRAM",42,JNP,309
cand310,"NARESH KUMAR POOJALA",25,IND,310
cand311,"PASUPULETI VENKATARAMANA ROYAL",42,IND,311
cand312,"CHEEMALA. RANGAPPA",60,INC,312
cand313,"JAYARAM DUGGANI",70,BJP,313
cand314,"NARAMALLI SIVA PRASAD",67,TDP,314
cand315,"C. PUNYAMURTHY",45,BSP,315
cand316,"N. REDDEPPA",68,YSRCP,316
cand317,"PALLIPATTU. ABHINAV VISHNU",27,MPP,317
cand318,"P. RAMACHANDRAN",42,IND,318
cand319,"A. HEMANTH",28,IND,319
