name,party_name,status,state,constituency
DILDAR MASIH, Shiromani Lok Dal Party, Accepted, Punjab, Amritsar
PRAKASH KUMAR, Independent, Accepted, Uttar Pradesh, Ballia
GOVIND SINGH THAKUR, Bharatiya Janata Party, Rejected, Himachal Pradesh, MANDI
MRIDUL OJHA, Independent, Accepted, West Bengal, Kolkata Dakshin
PRAKASH KUMAR, Independent, Rejected, Uttar Pradesh, Ballia
RAMESH KUMAR, Bharatheeya Jawan Kisan Party, Accepted, Punjab, Gurdaspur
SUNIL KUMAR DUBEY, Bhartiya Jagaran Party, Accepted, Bihar, Buxar
VIJAY KUMAR, Rashtravadi Vikas Party, Rejected, Uttar Pradesh, Gorakhpur
TRIVENI KUMAR, Independent, Rejected, Bihar, Nalanda
SURINDER KUMAR BANSAL, Independent, Accepted, Punjab, Firozpur
MUSAFIR, Independent, Applied, Uttar Pradesh, Mirzapur
RAVNEET SINGH, Bharatiya Janata Party, Accepted, Punjab, Ludhiana
ANAND MISHRA, Independent, Accepted, Bihar, Buxar
SUKALU, Rakshak Jan Morcha Party, Accepted, Uttar Pradesh, Robertsganj
NIRMAL SINGH RAJEANA, Independent, Accepted, Punjab, Faridkot
RAKESH, Independent, Rejected, Uttar Pradesh, Bansgaon
LALDHARI, Independent, Rejected, Uttar Pradesh, Gorakhpur
HIRAK SINHA, Independent, Accepted, West Bengal, Dum dum
RAMPRIT MOCHI, Ambedkar National Congress, Rejected, Bihar, Patna Sahib
SUMESHWAR, Independent, Rejected, Uttar Pradesh, Ballia
SURJIT SINGH, Independent, Accepted, Punjab, Khadoor Sahib
KULJIT SINGH AUJLA, Bharatiya Janata Party, Rejected, Punjab, Amritsar
KISHOR KUMAR, Independent, Applied, Jharkhand, Godda
SATISH KUMAR, Bhartiya Lok Chetna Party, Rejected, Bihar, Jahanabad
SARGUG MANJHI, Lok Sewa Dal, Rejected, Bihar, Patna Sahib
VISHNU PRASAD SINGH, Gareeb Samana Party, Applied, Uttar Pradesh, Mirzapur
LAIK RAM NEGI, Independent, Rejected, Himachal Pradesh, MANDI
JOBA HANSDA, Bahujan Mukti Party, Applied, Jharkhand, Dumka
ASHOK, Independent, Rejected, Uttar Pradesh, Gorakhpur
PRAVEEN KUMAR SRIVASTAV, Independent, Rejected, Uttar Pradesh, Chandauli
SURESH, Rashtra Uday Party, Rejected, Uttar Pradesh, Varanasi
RANJANA, Independent, Accepted, Uttar Pradesh, Ballia
TRIVENI KUMAR, Independent, Rejected, Bihar, Nalanda
SAHIL MONGA, Independent, Accepted, Punjab, Firozpur
RAM GOVIND, Independent, Rejected, Uttar Pradesh, Robertsganj
TRIVENI KUMAR, Independent, Rejected, Bihar, Nalanda
RAJIV KUMAR, Jan Sewa Driver Party, Accepted, Punjab, Ludhiana
ANIL YADAV, Independent, Rejected, Uttar Pradesh, Gorakhpur
LAIK RAM NEGI, Independent, Rejected, Himachal Pradesh, MANDI
GURPREET SINGH RATTAN, Republican Party of India (Athawale), Accepted, Punjab, Amritsar
MOHAMMAD AKEEL, Independent, Applied, Uttar Pradesh, Mirzapur
RINA, Janhit Kisan Party, Rejected, Uttar Pradesh, Maharajganj
SIMRANPREET SINGH, Independent, Accepted, Punjab, Amritsar
SUMESHWAR, Independent, Accepted, Uttar Pradesh, Ballia
TRIVENI KUMAR, Independent, Rejected, Bihar, Nalanda
SUSANTA MONDAL, Independent, Accepted, West Bengal, Kolkata Dakshin
JITENDRA, Rashtriya Suraksha Party, Rejected, Uttar Pradesh, Gorakhpur
SATISH KUMAR, Bhartiya Lok Chetna Party, Rejected, Bihar, Jahanabad
RAJIV KUMAR SINGH, Independent, Accepted, Uttar Pradesh, Ghosi
AVADHESH VERMA, Bahujan Mukti Party, Accepted, Uttar Pradesh, Ballia
PARVEEN HITESHI, National Republic Party Of India, Rejected, Punjab, Bathinda
RAM KUMAR JAISWAL, Independent, Rejected, Uttar Pradesh, Varanasi
RAM SAGAR, Bharat Mata Party, Applied, Uttar Pradesh, Mirzapur
RINA, Janhit Kisan Party, Rejected, Uttar Pradesh, Maharajganj
NEELAM, Independent, Rejected, Punjab, Amritsar
KAMALA PRASAD, Peoples Party of India (Democratic), Rejected, Uttar Pradesh, Robertsganj
