cand_id,cand_name,party_name,state,const_name
cand1228,"SUBASH MOHAPATRA","National Jan Dal",Odisha,Sambalpur
cand1229,"ARVIND KUMAR SHARMA",Independent,Haryana,ROHTAK
cand123,"DILDAR MASIH","Shiromani Lok Dal Party",Punjab,Amritsar
cand1230,"UDIT RAJ","Indian National Congress","NCT OF Delhi","NORTH WEST DELHI"
cand1231,"AZAD SINGH PUNIA",Independent,Haryana,KARNAL
cand1232,"PARMENDRA MANJHI",Independent,"NCT OF Delhi","NORTH WEST DELHI"
cand1233,"BIRSABIR BASKEY","Ambedkarite Party of India","West Bengal",Jhargram
cand1234,"AMIT MALIK",Independent,Haryana,KURUKSHETRA
cand1235,"SANGEETA PATTANAIK","Odisha Janata Party",Odisha,Bhubaneswar
cand1236,KAMLESH,"Azad Samaj Party","Uttar Pradesh",Machhlishahr
cand1237,"ASHOK MISHRA",Independent,"NCT OF Delhi","NORTH EAST DELHI"
cand1238,"DR SUSHIL GUPTA","Aam Aadmi Party",Haryana,KURUKSHETRA
cand1239,"MADHUSUDAN SINGH","Bahujan Samaj Party",Bihar,Maharajganj
cand124,"PRAKASH KUMAR",Independent,"Uttar Pradesh",Ballia
cand1240,"RUDRA NARAYAN PANY","Bharatiya Janata Party",Odisha,Dhenkanal
cand1241,SEEMA,Independent,Haryana,BHIWANI-MAHENDRAGARH
cand1242,"ASHOK KUMAR",Independent,Haryana,KARNAL
cand1243,"HARI NARAYAN RAM","Viro Ke Vir Indian Party",Bihar,Vaishali
cand1244,"PRAMOD KUMAR",Independent,"Uttar Pradesh",Pratapgarh
cand1245,"SAWATANTAR SINGH CHAUHAN","Jan Shakti Dal",Haryana,FARIDABAD
cand1246,"SANJAY DASS",Independent,Haryana,SONIPAT
cand1247,"BAGDAWAT RAM",Independent,Haryana,SIRSA
cand1248,"DR. SHYAMDHAR TIWARI",Independent,"Uttar Pradesh",Bhadohi
cand1249,"JYOTI PRAKASH (MONU)","Ekam Sanatan Bharat Dal","NCT OF Delhi","East Delhi"
cand125,"MRIDUL OJHA",Independent,"West Bengal","Kolkata Dakshin"
cand1250,"SANDEEP LOT VALMIKI","Indian National Lok Dal",Haryana,SIRSA
cand1251,"GOPAL MONDAL",Independent,"West Bengal",Ghatal
cand1252,"RANDHIR SINGH",Independent,Haryana,HISAR
cand1253,"NEERAJ JATAV",Independent,Haryana,FARIDABAD
cand1254,"DR. SHYAMDHAR TIWARI",Independent,"Uttar Pradesh",Bhadohi
cand1255,"JANARDAN SINGH SIGRIWAL","Bharatiya Janata Party",Bihar,Maharajganj
cand1256,"SAROJ KUMAR RAY",Independent,"NCT OF Delhi","NORTH EAST DELHI"
cand1257,"COMRADE RAMESH KHATKAR",Independent,Haryana,KURUKSHETRA
cand1258,SURENDER,"Aam Aadmi Parivartan Party",Haryana,ROHTAK
cand1259,"LEENA KOHLI",Independent,Haryana,KARNAL
cand126,"RAMESH KUMAR","Bharatheeya Jawan Kisan Party",Punjab,Gurdaspur
cand1260,"UDAYRAJ VERMA",Independent,"Uttar Pradesh",Sultanpur
cand1261,"AHMAD JIYA KHAN","Peace Party","Uttar Pradesh",Shrawasti
cand1262,"RAJESH SINGH",Independent,Bihar,"Purvi Champaran"
cand1263,"BINOD BIHARI NAIK","Indian National Congress",Odisha,Keonjhar
cand1264,"RAHUL CHOUHAN",Independent,Haryana,SIRSA
cand1265,"SASHMITA BEHERA","Indian National Congress",Odisha,Dhenkanal
cand1266,OMAPRAKASH,"Samaj Vikas Kranti Party","NCT OF Delhi","South Delhi"
cand1267,"BIRPAL SINGH KOLI",Independent,"NCT OF Delhi","NORTH EAST DELHI"
cand1268,"PRAMOD KUMAR",Independent,Bihar,Siwan
cand1269,VISHAKHA,"Bahujan Samaj Party","NCT OF Delhi","West Delhi"
cand127,"SUNIL KUMAR DUBEY","Bhartiya Jagaran Party",Bihar,Buxar
cand1270,"NIVEDITA SHARMA “PREM”","Rashtrawadi Janlok Party (Satya)","NCT OF Delhi","NORTH EAST DELHI"
cand1271,"DHARMU TUDU","Ambedkarite Party of India",Jharkhand,Jamshedpur
cand1272,"AMIT GUPTA",Independent,"NCT OF Delhi","East Delhi"
cand1273,"RAJENDER SOOD","Aam Janshakti Party","NCT OF Delhi","NORTH WEST DELHI"
cand1274,"SRIRAM PANDEY",Independent,Odisha,Sambalpur
cand1275,"YOGESH SWAMY",Independent,"NCT OF Delhi","NORTH EAST DELHI"
cand1276,"RAJIB TIWARI","Socialist Unity Centre Of India (COMMUNIST)",Jharkhand,Dhanbad
cand1277,"KIRAN DEVI",Independent,"Uttar Pradesh",Domariyaganj
cand1278,"MAHESWAR SAHOO",Independent,Odisha,Dhenkanal
cand1279,"CHANDRA PRAKASH CHOUDHARY","AJSU Party",Jharkhand,Giridih
cand128,"SURINDER KUMAR BANSAL",Independent,Punjab,Firozpur
cand1280,"NAINA SINGH CHAUTALA","Jannayak Janta Party",Haryana,HISAR
cand1281,"SOMA SINGH","Jai Maha Bharath Party",Jharkhand,Ranchi
cand1282,"NAGENDRA KUMAR PRADHAN","Indian National Congress",Odisha,Sambalpur
cand1283,"RAUSHAN KUMAR SRIVASTAVA",Independent,Bihar,"Paschim Champaran"
cand1284,"SEWA SINGH",Independent,Haryana,KURUKSHETRA
cand1285,"DR. RAJESH KUMAR SINGH",Independent,"NCT OF Delhi","NORTH EAST DELHI"
cand1286,"RAJENDRA PRASAD","Rashtra Uday Party","Uttar Pradesh",Machhlishahr
cand1287,"ARUN MAHATO",Independent,Jharkhand,Jamshedpur
cand1288,"JAI PARKASH (J P) S/O HARIKESH","Indian National Congress",Haryana,HISAR
cand1289,"DR NEERAJ",Independent,"Uttar Pradesh",Phulpur
cand129,"RAVNEET SINGH","Bharatiya Janata Party",Punjab,Ludhiana
cand1290,"YOGESH SHARMA",Independent,Haryana,ROHTAK
cand1291,"GAUBHAGAT SUMIT LATHER",Independent,Haryana,SONIPAT
cand1292,"LAMBODAR NAIK",Independent,Odisha,Keonjhar
cand1293,"DR NEERAJ",Independent,"Uttar Pradesh",Phulpur
cand1294,"ASHOK KUMAR","Bahujan Samaj Party","NCT OF Delhi","NORTH EAST DELHI"
