name,party_name,state,constituency
THIRUGNANAM. M,Independent,Tamil Nadu,KARUR
REVATHI K,Independent,Tamil Nadu,THENI
VIRENDRA RAWAT,Indian National Congress,Uttarakhand,Haridwar
DILEEP CHHABDA,Independent,Madhya Pradesh,BALAGHAT
DAYA RAM,Independent,Rajasthan,GANGANAGAR
ROBERT BRUCE C,Indian National Congress,Tamil Nadu,TIRUNELVELI
V.MADHAN MOHAN,Independent,Tamil Nadu,CHENNAI NORTH
SHANMUGA SUNDARAM A,United Republican Party of India,Tamil Nadu,MADURAI
JOGENDRA,Independent,Uttar Pradesh,Nagina
K PRABHU DEVAN,United Republican Party of India,Puducherry,PUDUCHERRY
DR. DHAI AKSHAR,Independent,Madhya Pradesh,JABALPUR
SHISHPAL SINGH RANA,Bheem Tribal Congress,Rajasthan,CHURU
SUBODH BARMAN,Independent,West Bengal,Coochbehar
AKILA. M,Independent,Tamil Nadu,TIRUCHIRAPPALLI
NARENDRAKUMAR. G,Independent,Tamil Nadu,KARUR
BIRBAL SINGH,Vishal Janta Party,Uttar Pradesh,Muzaffarnagar
HANUMAN SAHAY,Bahujan Samaj Party,Rajasthan,JAIPUR RURAL
SHIPRA RAY HAKIM,Independent,West Bengal,Jalpaiguri
TAMILMANI A,Independent,Tamil Nadu,NAMAKKAL
B JAGAN,Independent,Tamil Nadu,VELLORE
OM KUMAR,Bharatiya Janata Party,Uttar Pradesh,Nagina
KACHUI TIMOTHY ZIMIK,Naga Peoples Front,Manipur,Outer Manipur
DINESH YADAV,Independent,Madhya Pradesh,JABALPUR
SEWAKBHAU NIRDHAN WAGHAYE,Independent,Maharashtra,Bhandara Gondiya
SARDAR KHAN PAPPU,Independent,Uttarakhand,Tehri Garhwal
SATHIYARAJ. N,Independent,Tamil Nadu,VILUPPURAM
V.MADHAN MOHAN,Independent,Tamil Nadu,CHENNAI NORTH
SUDESH TOMAR,Independent,Uttarakhand,Tehri Garhwal
INTHRAJITHKUPTHA G,Independent,Tamil Nadu,SALEM
DURAI. S,Independent,Tamil Nadu,TIRUCHIRAPPALLI
ADVOCATE UDAY KUMAR SAHU,Gondvana Gantantra Party,Madhya Pradesh,JABALPUR
BASKARAN S,Independent,Tamil Nadu,SIVAGANGA
SURESH,Independent,Tamil Nadu,TIRUNELVELI
TRIDIV JYOTI BHUYAN,Independent,Assam,Kaziranga
DHURAIYARASAN. P,Independent,Tamil Nadu,KARUR
DR. GAJENDRA SINGH RATHORE,Bahujan Samaj Party,Rajasthan,NAGAUR
ESAKKIMUTHU N,Independent,Tamil Nadu,KANNIYAKUMARI
SATHISHKUMAR. S,Independent,Tamil Nadu,KARUR
SELVARAJ V,Communist Party of India,Tamil Nadu,NAGAPATTINAM
"SUB MAJOR SETTU, M.",Viro Ke Vir Indian Party,Tamil Nadu,TIRUVANNAMALAI
BALAJICHEZHIAN P,Independent,Tamil Nadu,NAMAKKAL
BHARAT BASNETT,Citizen Action Party-Sikkim,Sikkim,Sikkim
KARTHIKAIRAJAN  P,Independent,Tamil Nadu,SIVAGANGA
SANVIDHAN G LOKHANDE,Baliraja Party,Maharashtra,Ramtek
GOPI CHAND MEGHWAL,Independent,Rajasthan,BIKANER
STALIN M K,Pattali Makkal Katchi,Tamil Nadu,MAYILADUTHURAI
USHA KUMARI,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands
KARAN SINGH SAINI ENGINEER,Independent,Uttarakhand,Haridwar
DR OM SINGH MEENA SEHARA,Independent,Rajasthan,JAIPUR RURAL
AJAY YADAV,Apna Haq Party,Uttar Pradesh,Moradabad
PRASANTH. S,Independent,Tamil Nadu,KARUR
ADV. SANTOSH RAMKRISHNA LANJEWAR,All India Forward Bloc,Maharashtra,Nagpur
SALIM AHMED,Asom Jana Morcha,Assam,Kaziranga
LAKSHMANAN,Independent,Tamil Nadu,PERAMBALUR
HAZARI LAL,Bahujan Kranti Party (Marxwad-Ambedkarwad),Rajasthan,JHUNJHUNU
UTHAYAKUMAR P,Independent,Tamil Nadu,NAMAKKAL
KAWASI LAKHMA,Indian National Congress,Chhattisgarh,BASTAR
JOTHIMANI. A.K,Independent,Tamil Nadu,KARUR
ANIL BALUNI,Bharatiya Janata Party,Uttarakhand,Garhwal
SENTHIL KUMAR S,Independent,Tamil Nadu,THOOTHUKKUDI
TAMILVENDHAN P,Independent,Tamil Nadu,CHIDAMBARAM
BIDHAN DAS,Independent,West Bengal,Coochbehar
MADHUKAR DHAKAL,Independent,Sikkim,Sikkim
GUNWANT HARICHANDRA SOMKUWAR,Bharatheeya Jawan Kisan Party,Maharashtra,Nagpur
KARUPPAIYA. R,Naam Tamilar Katchi,Tamil Nadu,KARUR
CHHAGAN LAL,Independent,Rajasthan,ALWAR
VIGNESH M,Independent,Tamil Nadu,SALEM
NIRANJAN SINGH RATHORE,Independent,Rajasthan,CHURU
MARISELVAM S,All India People Development Party,Tamil Nadu,VIRUDHUNAGAR
RAMESH KUMAR,Independent,Rajasthan,CHURU
D. KABILAN,Independent,Tamil Nadu,CHENNAI NORTH
VISHNU KUMAR NATRAJ,Independent,Rajasthan,SIKAR
DASAI RAM KOL,Aadim Samaj Party,Madhya Pradesh,JABALPUR
RAJKUMAR R,Independent,Tamil Nadu,DINDIGUL
MOHMMAD SHAHID HUSAIN,Independent,Uttar Pradesh,Pilibhit
PERUMALKUMAR P,Puthiya Makkal Tamil Desam Katchi,Tamil Nadu,THOOTHUKKUDI
MURUGESAN. P,Independent,Tamil Nadu,KARUR
PUKHRAJ NAYAK,Independent,Rajasthan,BIKANER
DR PANKAJ SHARMA,Independent,Jammu and Kashmir,UDHAMPUR
ADVOCATE HARI KISHAN TIWARI,Bheem Tribal Congress,Rajasthan,JAIPUR RURAL
DR S PRAVEEN,Independent,Tamil Nadu,SRIPERUMBUDUR
DR. MAZEL AMPAREEN LYNGDOH,National People's Party,Meghalaya,Shillong
SELVARAJ. S,Independent,Tamil Nadu,TIRUCHIRAPPALLI
ARUMUGAM M,Bharatiya Praja Aikyata Party,Tamil Nadu,KRISHNAGIRI
M.MUNUSWAMY,Viro Ke Vir Indian Party,Tamil Nadu,CHENNAI SOUTH
VIJAYAN K,Independent,Tamil Nadu,THENI
RAJAMANICKAM C,Independent,Tamil Nadu,CHIDAMBARAM
M VIJAY,Independent,Tamil Nadu,ARAKKONAM
DHANALAKSHMI M,Independent,Tamil Nadu,SIVAGANGA
DHANALAKSHMI V,Naadaalum Makkal Katchi,Tamil Nadu,ERODE
KARUNAMOORTHY. S,Independent,Tamil Nadu,KARUR
SUDALAIMUTHU P,Independent,Tamil Nadu,THOOTHUKKUDI
ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,ERODE
RAJA SEKAR,Independent,Tamil Nadu,TENKASI
RAMKHILADI DHOVI,Independent,Rajasthan,KARAULI-DHOLPUR
RANJITHKUMAR.S,Independent,Tamil Nadu,CHENNAI CENTRAL
GOVIND BHALAVI,Independent,Madhya Pradesh,CHHINDWARA
DHEVANATHAN YADAV T,Bharatiya Janata Party,Tamil Nadu,SIVAGANGA
MUTHUSAMY S,Independent,Tamil Nadu,SALEM
DHAKSHINAMOORTHY M,Independent,Tamil Nadu,MAYILADUTHURAI
M UMAMAHESWARI,Desiya Makkal Sakthi Katchi,Tamil Nadu,TENKASI
PANDIYAN S,Bahujan Dravida Party,Tamil Nadu,MADURAI
VIGNESVARAN. R,Independent,Tamil Nadu,VILUPPURAM
V.K. ABDUL AZIZ,Independent,Andaman and Nicobar Islands,Andaman and Nicobar Islands
K VANLALVENA,Mizo National Front,Mizoram,MIZORAM
VINOJ,Bharatiya Janata Party,Tamil Nadu,CHENNAI CENTRAL
MUSHARRAT HUSAIN,Independent,Uttar Pradesh,Moradabad
VINCENT H. PALA,Indian National Congress,Meghalaya,Shillong
ANIMA DEKA GUPTA,Voters Party  International,Assam,Kaziranga
"ANNADURAI, S.",Independent,Tamil Nadu,TIRUVANNAMALAI
KANDASAMY P,Independent,Tamil Nadu,NAMAKKAL
SUNDAR BAGHEL,Independent,Chhattisgarh,BASTAR
NANDLAL UIKEY,Gondvana Gantantra Party,Madhya Pradesh,BALAGHAT
NATRAYAN. R,Independent,Tamil Nadu,KARUR
JAHID,Social Democratic Party Of India,Uttar Pradesh,Kairana
ASHISH DUBEY,Bharatiya Janata Party,Madhya Pradesh,JABALPUR
MOHD INAM,Akhil Bhartiya Parivar Party,Uttar Pradesh,Saharanpur
BACKIYARAJ VELLAISAMY,Naadaalum Makkal Katchi,Tamil Nadu,TIRUCHIRAPPALLI
KARTHIKEYAN S,Independent,Tamil Nadu,NAMAKKAL
RAJU DEURI,Bodoland Peoples Front,Assam,Sonitpur
VINOTH KUMAR. N,Independent,Tamil Nadu,KARUR
DINESH CHANDRA NEPAL,Bharatiya Janata Party,Sikkim,Sikkim
SMT. TARA DEVI SINGH,Rashtriya Jansanchar Dal,Madhya Pradesh,SIDHI
GOVINDARASU. P,Independent,Tamil Nadu,TIRUCHIRAPPALLI
KISHORE  UTTAMRAO GAJBHIYE,Independent,Maharashtra,Ramtek
PARTHASARATHI,Tamilar Makkal Katchi,Tamil Nadu,DHARMAPURI
RAJU DEONATH PARVE,Shiv Sena,Maharashtra,Ramtek
KISHORE  UTTAMRAO GAJBHIYE,Independent,Maharashtra,Ramtek
PREMRAJ KHARDIYA,Independent,Rajasthan,NAGAUR
ABINAYA,Naam Tamilar Katchi,Tamil Nadu,DHARMAPURI
LURINJYOTI GOGOI,Assam Jatiya Parishad,Assam,Dibrugarh
ANKUR,Independent,Uttar Pradesh,Muzaffarnagar
PREMA S,Independent,Tamil Nadu,THENI
AKHTAR ALI,Bahujan Samaj Party,Uttarakhand,Nainital-Udhamsingh Nagar
C A JAYARAMAN,Independent,Tamil Nadu,SRIPERUMBUDUR
DR. DURGA WATI BHARIA,Chhattisgarh Vikas Ganga Rashtriya Party,Madhya Pradesh,SHAHDOL
J.NAGARAJ,Independent,Tamil Nadu,CHENNAI CENTRAL
AGNI AALVAR,Independent,Tamil Nadu,CHENNAI CENTRAL
RAMESH A,Independent,Tamil Nadu,KRISHNAGIRI
JAFAR ALI. A,Independent,Tamil Nadu,KARUR
"ARUL, M.",Independent,Tamil Nadu,ARANI
VIJAY KUMAR,Independent,Uttarakhand,Haridwar
POORNESH KUMAR JAIN,Independent,Madhya Pradesh,JABALPUR
GARUDADRI ANAND KUMAR,Akhil Bhartiya Parivar Party,Maharashtra,Nagpur
KRISHNAN S,Independent,Tamil Nadu,THOOTHUKKUDI
PP JAYAPRAKASH,Independent,Tamil Nadu,VELLORE
PARTHIBAN G,Independent,Tamil Nadu,THENI
SURESHI DEVI,Peoples Party of India (Democratic),Uttarakhand,Garhwal
KIREN RIJIJU,Bharatiya Janata Party,Arunachal Pradesh,Arunachal West
N ASHOK KUMAR,Independent,Tamil Nadu,ERODE
VISHVNATH KHINCHI,Hindustan Janta Party,Rajasthan,ALWAR
E ANANTHAVEL,Independent,Puducherry,PUDUCHERRY
"SUBRAMANI, N.",Independent,Tamil Nadu,TIRUPPUR
"Bharathidasan, S.S.",Independent,Tamil Nadu,TIRUVALLUR
SATHISH M,Independent,Tamil Nadu,NILGIRIS
"Sivasankaran, V.",Independent,Tamil Nadu,TIRUVALLUR
MYLVAKANAN D -,Independent,Tamil Nadu,ERODE
THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,Tamil Nadu,CHIDAMBARAM
SUSHIL KUMAR SHUKLA,Independent,Uttar Pradesh,Pilibhit
VIJAYASEELAN SDR,Tamil Maanila Congress  (Moopanar),Tamil Nadu,THOOTHUKKUDI
KARUNAKARAN M,Independent,Tamil Nadu,SALEM
SANJEEV KUMAR,Independent,Uttar Pradesh,Nagina
RAMESH T R,Independent,Tamil Nadu,NAMAKKAL
ESWARASAMY K,Independent,Tamil Nadu,POLLACHI
VIJAYAN. A,Independent,Tamil Nadu,VILUPPURAM
RAMASUNDARAM D,Independent,Tamil Nadu,SALEM
GARUDADRI ANAND KUMAR,Independent,Maharashtra,Nagpur
PARIMAL ORAON,Independent,West Bengal,Alipurduars
REGIS THIYAGARAJAN. V.G.A,Independent,Tamil Nadu,KARUR
"FEROZKHAN, A.",Independent,Tamil Nadu,ARANI
RAMAKRISHNAN N,Nam India Naam Indiyar Katchi,Tamil Nadu,TIRUNELVELI
ARUMUGAM. M.,Independent,Tamil Nadu,DHARMAPURI
RAMSINGH KASANA,Independent,Rajasthan,JAIPUR RURAL
DEVAPPA Y,Independent,Tamil Nadu,KRISHNAGIRI
"NAKKEERAN ,  A.",Independent,Tamil Nadu,TIRUVANNAMALAI
SWATANATRA SAMAJ SEVI VINAY CHAKRAVARTI,Independent,Madhya Pradesh,JABALPUR
VENKATESAN M,Independent,Tamil Nadu,MADURAI
MAHENDRA BHAIYA,Independent,Madhya Pradesh,SIDHI
NAGARAJAN  KR,Independent,Tamil Nadu,SIVAGANGA
GULAB SINGH,Independent,Madhya Pradesh,JABALPUR
D. SRINIVASAN,Independent,Tamil Nadu,CHENNAI NORTH
PRADEEP KUMAR,Bharatiya Janata Party,Uttar Pradesh,Kairana
NITIN JAIRAM GADKARI,Bharatiya Janata Party,Maharashtra,Nagpur
DEIRAM MEGHWAL,Bahujan Samaj Party,Rajasthan,CHURU
DHARMA. K,Independent,Tamil Nadu,VILUPPURAM
R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,Tamil Nadu,CHENNAI SOUTH
ALTIF,Independent,Rajasthan,JHUNJHUNU
MYLVAKANAN D -,Independent,Tamil Nadu,ERODE
PALANIVEL K,Independent,Tamil Nadu,SALEM
THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,Tamil Nadu,THENI
SUHAS UMESH KUMRE,Bhim Sena,Maharashtra,Gadchiroli - Chimur
VENKATESAN. K,Independent,Tamil Nadu,KANCHEEPURAM
ESAKKIMUTHU V,Independent,Tamil Nadu,THOOTHUKKUDI
BALWAN SINGH,Jammu and Kashmir National Panthers Party (Bhim),Jammu and Kashmir,UDHAMPUR
AGNI AALVAR,Independent,Tamil Nadu,CHENNAI CENTRAL
RAMVISHAL KOL,Rashtriya Samaj Paksha,Madhya Pradesh,SIDHI
ROJA RAMANI. S,Anna MGR Dravida Makkal Kalgam,Tamil Nadu,TIRUCHIRAPPALLI
PALANISAMY. N.A,Independent,Tamil Nadu,KARUR
RUCHI VIRA,Samajwadi Party,Uttar Pradesh,Moradabad
SATYANARAYAN,Bheem Tribal Congress,Rajasthan,JHUNJHUNU
BARIKRAO DHARMAJI MADAVI,Independent,Maharashtra,Gadchiroli - Chimur
SARAH FATHIMA,Independent,Tamil Nadu,CHENNAI NORTH
SHYAMLAL,Bahujan Mukti Party,Uttarakhand,Garhwal
DURAI. T,Independent,Tamil Nadu,TIRUCHIRAPPALLI
"ELLAPPAN, R.",Independent,Tamil Nadu,ARANI
PANDIYARAJAN S,Independent,Tamil Nadu,MAYILADUTHURAI
S SATHISH KUMAR,Independent,Puducherry,PUDUCHERRY
DR TOM MANOHAR C M,Punnagai Desam Party,Tamil Nadu,KANNIYAKUMARI
SALEH AHMED MAZUMDAR,Republican Party of India (Athawale),Assam,Kaziranga
BALASUBRAMANIAN T,Independent,Tamil Nadu,KANNIYAKUMARI
M THULASIRAMAN,Independent,Tamil Nadu,ARAKKONAM
KARTHI S,Independent,Tamil Nadu,NAMAKKAL
HANUMAN SINGH KALVI,Rashtriya Janshakti Party (Secular),Rajasthan,NAGAUR
ZEESHAN KHAN,Bahujan Samaj Party,Uttar Pradesh,Rampur
S MUNIKUMAR,Samaniya Makkal Nala Katchi,Tamil Nadu,SRIPERUMBUDUR
"VELUSAMY, A.",Independent,Tamil Nadu,TIRUPPUR
SUNDHARAMOORTHY. M.,Independent,Tamil Nadu,DHARMAPURI
BHALAJI M,Independent,Tamil Nadu,SALEM
B JOHN PANDIAN,Bharatiya Janata Party,Tamil Nadu,TENKASI
MANOJ DHANOWAR,Aam Aadmi Party,Assam,Dibrugarh
ALAM ALI,Bahujan Maha Party,Assam,Sonitpur
KALAIRAJ. K,Independent,Tamil Nadu,KARUR
I. DAVIDSINGH,Independent,Tamil Nadu,CHENNAI SOUTH
NARENDER SHARMA,Rashtriya Sanatan Party,Rajasthan,JAIPUR
GOWARDHAN DEORAO KUMBHARE,Viro Ke Vir Indian Party,Maharashtra,Ramtek
ESAI MATHIVANAN,Naam Tamilar Katchi,Tamil Nadu,TENKASI
"GANESH, P.",Independent,Tamil Nadu,ARANI
SURESH. K,Independent,Tamil Nadu,VILUPPURAM
GOPAL P,Independent,Tamil Nadu,NAMAKKAL
TASMEEM BANO,Independent,Uttar Pradesh,Saharanpur
MANUJ VERMA,Independent,Uttar Pradesh,Muzaffarnagar
DURAIRAJ. A,Independent,Tamil Nadu,TIRUCHIRAPPALLI
BABU LAL,Independent,Rajasthan,BIKANER
EZHILARASAN S,Independent,Tamil Nadu,THANJAVUR
NAGARAJ. A,Independent,Tamil Nadu,VILUPPURAM
MADHAN,Naam Tamilar Katchi,Tamil Nadu,THENI
E RAVENDRAN,Independent,Tamil Nadu,CHENNAI SOUTH
JAFARULLAH KHAN F,Independent,Tamil Nadu,MAYILADUTHURAI
MOHAN SINGH ASWAL,Uttarakhand Kranti Dal,Uttarakhand,Haridwar
AFROSE,Independent,Tamil Nadu,VELLORE
RAJAMANICKAM C,Independent,Tamil Nadu,KALLAKURICHI
HARI RAM,Independent,Rajasthan,NAGAUR
RAJENDRA HARISHCHANDRA RAMTEKE,Bahujan Samaj Party,Maharashtra,Chandrapur
KRISHNASAMY,Independent,Tamil Nadu,TENKASI
S SIVARAMAN,Independent,Tamil Nadu,SRIPERUMBUDUR
YOGESH,Independent,Uttar Pradesh,Kairana
MOHD. SHAHJAD,Independent,Uttar Pradesh,Bijnor
RAJA S,Independent,Tamil Nadu,SALEM
PRASATH CHITRARASU,Independent,Tamil Nadu,ERODE
PURNIMA DILIP GHONMODE,Bahujan Republican  Socialist Party,Maharashtra,Chandrapur
V BABU,United Republican Party of India,Tamil Nadu,ARAKKONAM
M.NAGARAJ,Independent,Tamil Nadu,CHENNAI CENTRAL
DADDI YADAV,Independent,Madhya Pradesh,SIDHI
JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,West Bengal,Coochbehar
SEVAL KANNAN B ADVOCATE,Independent,Tamil Nadu,TIRUNELVELI
TIKAM NAGWANSHI,Gondvana Gantantra Party,Chhattisgarh,BASTAR
"PALANI , T.N.",Independent,Tamil Nadu,TIRUVANNAMALAI
K E PRAKASH,Dravida Munnetra Kazhagam,Tamil Nadu,ERODE
YUSUF ALI KHAN,Independent,Rajasthan,CHURU
SANKARAN. S,Bahujan Samaj Party,Tamil Nadu,KARUR
G. PICHAMUTHU,Independent,Tamil Nadu,CUDDALORE
PRADIP KUMAR ROY,Kamatapur People’s Party (United),West Bengal,Coochbehar
VISHESH VASANTA FUTANE,Bahujan Republican  Socialist Party,Maharashtra,Nagpur
D SARAVANAN,Independent,Tamil Nadu,VELLORE
SUMEDHANAND SARASWATI,Bharatiya Janata Party,Rajasthan,SIKAR
RAJENDRAN. S,Independent,Tamil Nadu,TIRUCHIRAPPALLI
BIMPAK SIGA,Independent,Arunachal Pradesh,Arunachal West
JYOTI MIRDHA,Bharatiya Janata Party,Rajasthan,NAGAUR
P ESWARAN,Bahujan Samaj Party,Tamil Nadu,ERODE
ADV ULHAS SHALIKRAM DUPARE,Independent,Maharashtra,Nagpur
AMAL DAS,Independent,West Bengal,Coochbehar
BALARAM DEBBARMA,Independent,Tripura,Tripura West
AMAL DAS,Independent,West Bengal,Coochbehar
MANOJ TIGGA,Bharatiya Janata Party,West Bengal,Alipurduars
NIRODE CHANDRA ADHIKARY,Independent,West Bengal,Jalpaiguri
ANIS AHMED KHAN (PHOOL BABU),Bahujan Samaj Party,Uttar Pradesh,Pilibhit
SELVARAJ P,Independent,Tamil Nadu,SIVAGANGA
GHANA KANTA CHUTIA,All India Trinamool Congress,Assam,Lakhimpur
BISHOP DR GODFREY WASHINGTON NOBLE,Aanaithinthiya Jananayaka Pathukappu Kazhagam,Tamil Nadu,TIRUNELVELI
KAMALESH BARMAN,Independent,West Bengal,Coochbehar
KRISHNAN P,Independent,Tamil Nadu,KANNIYAKUMARI
SATHYADEVI T,Naam Tamilar Katchi,Tamil Nadu,MADURAI
KAMALESH BARMAN,Independent,West Bengal,Coochbehar
DEVIRAM URF DEV RAVEN BHALAVI,Gondvana Gantantra Party,Madhya Pradesh,CHHINDWARA
MANOJ RANA,Independent,Uttar Pradesh,Kairana
SANTOSH TULSHIRAM CHAVHAN,Independent,Maharashtra,Nagpur
FAGGAN SINGH KULASTE,Bharatiya Janata Party,Madhya Pradesh,MANDLA
FARMAN,Majloom Samaj Party,Uttar Pradesh,Bijnor
SHANAVAS J,Independent,Tamil Nadu,ARAKKONAM
ARJUN SINGH,Akhil Bhartiya Parivar Party,Uttarakhand,Garhwal
DR CHANDRA PRABHA JEYAPAL,Naam Tamilar Katchi,Tamil Nadu,RAMANATHAPURAM
RAM PRASAD MANDAL,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Jalpaiguri
"MANAVALAN, A.",Anna MGR Dravida Makkal Kalgam,Tamil Nadu,ARANI
AYYAPPAN V,Independent,Tamil Nadu,KANNIYAKUMARI
ADARSH RAVISHANKAR THAKUR,Independent,Maharashtra,Nagpur
"SENTHAMIL SELVAN,  M.",Independent,Tamil Nadu,TIRUVANNAMALAI
MILI ORAON,Revolutionary Socialist Party,West Bengal,Alipurduars
ASHOK SEHRA,Ambedkarite Party of India,Rajasthan,SIKAR
AYTU RAM MANDAVI,Bahujan Samaj Party,Chhattisgarh,BASTAR
SUNIL TIWARI,Independent,Madhya Pradesh,SIDHI
CHANDRASEKAR N,Independent,Tamil Nadu,MADURAI
UMAKANT BANDEWAR,Bahujan Samaj Party,Madhya Pradesh,CHHINDWARA
NATARAJAN M,Independent,Tamil Nadu,NAMAKKAL
UMESH KUMAR PATRAKAR,Independent,Uttarakhand,Haridwar
TRILOK TIWARI,Rashtriya Samta Vikas Party,Rajasthan,JAIPUR
SENTHILKUMAR,Chennai Youth Party,Tamil Nadu,CHENNAI CENTRAL
PANNEERSELVAM O S/O  OYYARAM,Independent,Tamil Nadu,RAMANATHAPURAM
UMESH KUMAR PATRAKAR,Independent,Uttarakhand,Haridwar
VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent,Maharashtra,Bhandara Gondiya
MUNIB NARJINARY,Bahujan Samaj Party,West Bengal,Alipurduars
UMESH RAJU  KHADSE,Rashtra Samarpan Party,Maharashtra,Ramtek
K. MAYAKRISHNAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Tamil Nadu,CUDDALORE
SIVANANDAM N,Bahujan Samaj Party,Tamil Nadu,RAMANATHAPURAM
TIMOTHY T,Independent,Tamil Nadu,MAYILADUTHURAI
VIRENDRAKUMAR KASTURCHAND JAISWAL,Independent,Maharashtra,Bhandara Gondiya
SIKKANDAR B,Independent,Tamil Nadu,RAMANATHAPURAM
ROWENA RUTH JANE J,Naam Tamilar Katchi,Tamil Nadu,THOOTHUKKUDI
KALAISELVAM K,Independent,Tamil Nadu,SIVAGANGA
BINAY MURMU,North Bengal People’s Party,West Bengal,Alipurduars
ADVOCATE-DEV SINGH KUMRE,Independent,Madhya Pradesh,MANDLA
NRIPENDRA NARAYAN DEBKARJEE,Kamatapur People’s Party (United),West Bengal,Alipurduars
PURUSHOTTAM LAL,Independent,Rajasthan,BHARATPUR
OMBEER,Azad Adhikar Sena,Uttar Pradesh,Kairana
MANIVASAGAM S,Bahujan Dravida Party,Tamil Nadu,RAMANATHAPURAM
L.KASINATHAN,Independent,Tamil Nadu,CHENNAI CENTRAL
DURAISAMY A,Independent,Tamil Nadu,COIMBATORE
RAHUL MARAK,Kisan Mazdoor Sangharsh Party,West Bengal,Alipurduars
BABITA RAJU AWASTHI,Independent,Maharashtra,Nagpur
PANNEERSELVAM O S/O OCHAPPAN,Independent,Tamil Nadu,RAMANATHAPURAM
KHARGA BHADUR RAI,Sikkim Republican Party,Sikkim,Sikkim
ASHISH DHYANI,Independent,Uttarakhand,Haridwar
"BAKIYALAKSHMI, K.",Naam Tamilar Katchi,Tamil Nadu,ARANI
ANANDARAJU R,Independent,Tamil Nadu,PERAMBALUR
LENIN K,Independent,Tamil Nadu,TIRUNELVELI
PANNEERSELVAM O  S/O  OYYADEVAR,Independent,Tamil Nadu,RAMANATHAPURAM
DR. ASEEM VERMA,Independent,Rajasthan,JAIPUR
"SANKAR,  S.",Independent,Tamil Nadu,TIRUVANNAMALAI
MUVITH KUMAR N,Independent,Tamil Nadu,RAMANATHAPURAM
R.MINNAL RAJ,Independent,Tamil Nadu,CHENNAI CENTRAL
JAYANTHI M,Ambedkarite Party of India,Tamil Nadu,NILGIRIS
SIVASHANKAR N,Independent,Tamil Nadu,RAMANATHAPURAM
ADARSH PANDEY,Independent,Uttar Pradesh,Pilibhit
JAGADEESH J BE,Bahujan Samaj Party,Tamil Nadu,NAGAPATTINAM
RAJESH,Independent,Tamil Nadu,VIRUDHUNAGAR
YOGI JEETENDRA NATH ADVOCATE,Rashtriya Sawarn Dal,Rajasthan,JAIPUR RURAL
"Mani, E.",Independent,Tamil Nadu,TIRUVALLUR
PARY T,Independent,Tamil Nadu,PERAMBALUR
MANIMARAN T,Independent,Tamil Nadu,MAYILADUTHURAI
NARENDRA BURKA,Hamar Raj Party,Chhattisgarh,BASTAR
ELANGOVAN R,Bahujan Samaj Party,Tamil Nadu,PERAMBALUR
ANJILA JATAV,Bahujan Samaj Party,Rajasthan,BHARATPUR
LATEN TSHERING SHERPA,Independent,Sikkim,Sikkim
RAJA A,Independent,Tamil Nadu,SALEM
VASUDEVAN A,Independent,Tamil Nadu,PERAMBALUR
MUTHURAMAN A,Aravor Munnetra Kazhagam,Tamil Nadu,TIRUNELVELI
THANGA MURUGAN,Desiya Makkal Sakthi Katchi,Tamil Nadu,CUDDALORE
EBINESAN M,Independent,Tamil Nadu,PERAMBALUR
SONU KUMAR,Independent,Uttarakhand,Garhwal
KULWANT KAUR,Indian Peoples Green Party,Rajasthan,GANGANAGAR
SATHYAMURTHY. T,Independent,Tamil Nadu,TIRUCHIRAPPALLI
AASIRIYAR SHANMUGA SUNDARAM K,Independent,Tamil Nadu,THOOTHUKKUDI
MURUGESAN. K,Ganasangam Party of India,Tamil Nadu,KARUR
KARTHIK KUMAR P C,Independent,Tamil Nadu,SRIPERUMBUDUR
GHUR SINGH SALLAM,Independent,Madhya Pradesh,MANDLA
SUMIT VIJAY PANDE,Independent,Maharashtra,Bhandara Gondiya
M.L.RAVI,Desiya Makkal Sakthi Katchi,Tamil Nadu,CHENNAI CENTRAL
MOHD. PARVEZ QURESHI,Independent,Madhya Pradesh,CHHINDWARA
SHYAMAL PAL,Independent,Sikkim,Sikkim
JOHNGILBERTRAJ,Independent,Tamil Nadu,THENI
FAZAL HUSSAIN,Bahujan Samaj Party,Rajasthan,ALWAR
B. BALAMURUGAN,Independent,Tamil Nadu,CHENNAI NORTH
MURALI S,Bahujan Samaj Party,Tamil Nadu,SALEM
PARTHIBAN. S,Independent,Tamil Nadu,CHENNAI SOUTH
PALANISAMYRAAJ M,Independent,Tamil Nadu,COIMBATORE
M.K. VISHNUPRASAD,Indian National Congress,Tamil Nadu,CUDDALORE
VINOD KUMAR SHARMA,Uttarakhand Samanta Party,Uttarakhand,Garhwal
A JINNA MOHAMMED,Independent,Tamil Nadu,SRIPERUMBUDUR
VIKAS THAKRE,Indian National Congress,Maharashtra,Nagpur
LAL SINGH,Rashtriya Samaj Dal (R),Madhya Pradesh,JABALPUR
DR MANOJKUMAR G,Naam Tamilar Katchi,Tamil Nadu,SALEM
