name,party_name,state,constituency
BALWINDER SINGH,Jan Sewa Driver Party,Punjab,Firozpur
SUDHIR KUMAR,Sanyukt Kisan Vikas Party,Bihar,Nalanda
DHARMINDER SINGH HARMAN,Akhil Bhartiya Parivar Party,Punjab,Anandpur Sahib
SANTOSH KUMAR,Bahujan Samaj Party,Bihar,Sasaram
SANT SEWAK,Independent,Punjab,Gurdaspur
ANSHUL AVIJIT,Indian National Congress,Bihar,Patna Sahib
AFZAL ANSARI,Samajwadi Party,Uttar Pradesh,Ghazipur
DARSHAN SINGH,Punjab National Party,Punjab,Anandpur Sahib
GURCHARAN SINGH,Independent,Punjab,Firozpur
SHIVAM YADAV,Global Republican Party,Punjab,Ludhiana
RANPREET SINGH,Independent,Chandigarh,Chandigarh
SURENDER KUMAR,Independent,Himachal Pradesh,HAMIRPUR
AMRIK SINGH,Independent,Punjab,Faridkot
SATYADEV,Purvanchal Mahapanchayat,Uttar Pradesh,Mirzapur
RAJINDER KAUR,Sainik Samaj Party,Chandigarh,Chandigarh
KANIYA LAL,Independent,Punjab,Ludhiana
BASANTA KUMAR MAHALIK,Independent,Odisha,Bhadrak
GURBACHAN SINGH,Independent,Punjab,Patiala
MANTU SETHI,Janta Darbar Party,Odisha,Jajpur
GURPREET SINGH,Jan Sewa Driver Party,Punjab,Bathinda
ANIL KUMAR,Bahujan Samaj Party,Bihar,Buxar
AMAR SINGH,Indian National Congress,Punjab,Fatehgarh Sahib
JASWANT SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Hoshiarpur
SAUDAGAR ALI,Independent,Uttar Pradesh,Ghosi
VIVEK SHARMA,Independent,Chandigarh,Chandigarh
AMIT KUMAR ALBELA,Independent,Bihar,Patna Sahib
VIJAY,Socialist Unity Centre Of India (COMMUNIST),Uttar Pradesh,Ghosi
NARENDRA MODI,Bharatiya Janata Party,Uttar Pradesh,Varanasi
ADVOCATE SANJAY SHARMA,Independent,Himachal Pradesh,KANGRA
AMRITPAL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Ludhiana
SONIA,Republican Party of India (Athawale),Punjab,Jalandhar
SUMANTA MALIK,Independent,Odisha,Jajpur
DR. SANDEEP SAURAV,Communist Party of India  (Marxist-Leninist)  (Liberation),Bihar,Nalanda
BHAGWANT SINGH,Independent,Punjab,Bathinda
NIRBHAY YADAV,Independent,Bihar,Buxar
PARGAT SINGH RAJEANA,Apna Samaj Party,Punjab,Faridkot
ANUPRIYA SINGH PATEL,Apna Dal (Soneylal),Uttar Pradesh,Mirzapur
DAVINDER SINGH,Independent,Punjab,Anandpur Sahib
SIMRANJEET SINGH,Independent,Punjab,Khadoor Sahib
NAND LAL RAM,Rashtriya Samaj Paksha,Bihar,Sasaram
KULWINDER SINGH,Democratic Bharatiya Samaj Party,Punjab,Anandpur Sahib
RAMPRIT,Independent,Uttar Pradesh,Maharajganj
MANISH TEWARI,Indian National Congress,Chandigarh,Chandigarh
RAVI KANT MUNI,Independent,Chandigarh,Chandigarh
RAKESH KUMAR,Sunahara Bharat Party,Punjab,Ludhiana
PREM SINGH,Independent,Punjab,Firozpur
ANIL KUMAR CHAND,Socialist Unity Centre Of India (COMMUNIST),Bihar,Patliputra
PARDEEP KUMAR,Apni Ekta Party,Punjab,Sangrur
LALJI VERMA,Independent,Uttar Pradesh,Mirzapur
RAJWANT KAUR,Apna Samaj Party,Punjab,Jalandhar
PREM CHAND,Independent,Uttar Pradesh,Ghosi
NITESH KUMAR,Adarsh Jankalyan Dal,Bihar,Patliputra
GURDEEP SINGH KAHLON,Independent,Punjab,Ludhiana
RAJA SINGH,Independent,Punjab,Sangrur
SUMIT,Akhil Bhartiya Parivar Party,Himachal Pradesh,HAMIRPUR
NAIB SINGH,Independent,Punjab,Fatehgarh Sahib
SANTOSH KAUR,Independent,Punjab,Gurdaspur
AMIT KUMAR AMBEDKAR,Bahujan Mukti Party,Bihar,Sasaram
BHUVNESH KUMAR,Rashtriya Devbhumi Party,Himachal Pradesh,KANGRA
RAJENDRA KUMAR AGRAWAL,Independent,Uttar Pradesh,Ghosi
GURMEET SINGH,Independent,Punjab,Faridkot
SUNIL,Bahujan Mukti Party,Uttar Pradesh,Maharajganj
ANAND MISHRA,Independent,Bihar,Buxar
SUMIT RANJAN SINHA,Akhand Bharat Janpriya Party,Bihar,Patna Sahib
DR. BIPLAB CHANDRA,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Kolkata Uttar
GAGAN PRAKASH,Apna Dal (Kamerawadi),Uttar Pradesh,Varanasi
SANTOSH KUMAR PATRA,Independent,Odisha,Kendrapara
BAL MUKAND,Independent,Punjab,Jalandhar
GURMEET SINGH,Independent,Punjab,Bathinda
KARAMJIT SINGH ANMOL,Aam Aadmi Party,Punjab,Faridkot
TALA MARANDI,Bharatiya Janata Party,Jharkhand,Rajmahal
RUPINDER KUMAR,Independent,Punjab,Ludhiana
SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),Bihar,Arrah
VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,Jharkhand,Rajmahal
PARAMJIT SINGH,Independent,Punjab,Patiala
ATANU DAS,Independent,West Bengal,Kolkata Dakshin
PRATIMA DEVI,Independent,Bihar,Karakat
HAKAM BAKHTARIWALA,Independent,Punjab,Sangrur
CHAMKAUR SINGH,Independent,Punjab,Firozpur
CHHOTELAL,Samajwadi Party,Uttar Pradesh,Robertsganj
BHUPINDER SINGH,Bharatheeya Jawan Kisan Party,Punjab,Ludhiana
SMT. RINKU GUPTA,Pyramid Party of India,West Bengal,Kolkata Uttar
BALWINDER KUMAR,Bahujan Samaj Party,Punjab,Jalandhar
YOG RAJ SAHOTA,Revolutionary Socialist Party,Punjab,Anandpur Sahib
SHER SINGH,Yuga Thulasi Party,Uttar Pradesh,Chandauli
NARESH KUMAR,Independent,Bihar,Jahanabad
SADHAN GHOSH,Socialist Unity Centre Of India (COMMUNIST),West Bengal,Barasat
VIRSA SINGH VALTOHA,Shiromani Akali Dal,Punjab,Khadoor Sahib
KHUSHBOO KUMARI,Akhil Bhartiya Parivar Party,Bihar,Patliputra
SWAPAN MAJUMDAR,Independent,West Bengal,Barasat
SARMISTHA SETHI,Biju Janata Dal,Odisha,Jajpur
GURINDER SINGH,Independent,Punjab,Amritsar
KEHAR SINGH,Independent,Himachal Pradesh,KANGRA
RAJ KUMAR,Bahujan Samaj Party,Punjab,Gurdaspur
SUKHVINDER SINGH,Independent,Punjab,Patiala
SANJIB CHATTERJEE,All India Forward Bloc,West Bengal,Barasat
NUSRAT ANSARI,Independent,Uttar Pradesh,Ghazipur
DILBAGH SINGH,All India Mazdoor Party (Rangreta),Punjab,Khadoor Sahib
RAVI KANT SINGH URF RAVI PATEL,Sardar Patel Siddhant Party,Uttar Pradesh,Ballia
SIDHARTH SWARUP DASH,Indian National Congress,Odisha,Kendrapara
PIYUSH SINGH,Shoshit Samaj Dal,Bihar,Jahanabad
KAMALJIT SINGH,Independent,Punjab,Ludhiana
KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,West Bengal,Barasat
RANGI KHAN,Aam Janata Party,Punjab,Sangrur
SUDHANSHU,Independent,Uttar Pradesh,Gorakhpur
SHAM LAL GANDHIWADI,Independent,Punjab,Amritsar
YASMIN ISLAM,Social Democratic Party Of India,West Bengal,Kolkata Dakshin
BIKASH SARKAR,Mulnibasi Party of India,West Bengal,Barasat
RANJIT KUMAR MANDAL,Independent,West Bengal,Jadavpur
RAJ KUMAR,Aam Aadmi Party,Punjab,Hoshiarpur
MOHINDER PAL SINGH,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),Punjab,Patiala
AVADHESH VERMA,Independent,Uttar Pradesh,Ballia
GHANSHYAM PRASAD SINGH,Independent,Bihar,Nalanda
SEKHA SADIKA HOSEN,Bahujan Samaj Party,Odisha,Kendrapara
KUMAR HARI CHARAN SINGH YADAV,Bharatiya Momin Front,Bihar,Nalanda
SILBHADRA DATTA,Bharatiya Janata Party,West Bengal,Dum dum
RAJINDER GHAI,Independent,Punjab,Ludhiana
KAPIL CHAUHAN,Jan Janwadi Party,Bihar,Jahanabad
JASVIR SINGH GARHI,Bahujan Samaj Party,Punjab,Anandpur Sahib
RAJKUMAR PALIT,Mission Naya Digant Bharat,West Bengal,Kolkata Uttar
BALJINDER SINGH,Independent,Punjab,Gurdaspur
AJEET KUMAR,Independent,Bihar,Nalanda
DULU DEY,Independent,West Bengal,Dum dum
JATINDER KUMAR SHARMA,Bhartiya Rashtriya Dal,Punjab,Gurdaspur
PARAMJIT KAUR TEJI,Independent,Punjab,Jalandhar
KIRPAL SINGH,Independent,Punjab,Ludhiana
SURENDER SINGH,Independent,Bihar,Nalanda
PREM LAL,Democratic Bharatiya Samaj Party,Punjab,Faridkot
ANURAG SINGH THAKUR,Bharatiya Janata Party,Himachal Pradesh,HAMIRPUR
BINOY KRISHNA CHATTERJEE,Independent,West Bengal,Kolkata Uttar
BINOY KRISHNA CHATTERJEE,Independent,West Bengal,Kolkata Uttar
AVIMANYU SETHI,Bharatiya Janata Party,Odisha,Bhadrak
RESHAM SINGH,Independent,Punjab,Amritsar
NIRAJ AGARWAL,Independent,West Bengal,Kolkata Dakshin
RAJ KUMAR,Peoples Party of India (Democratic),Punjab,Jalandhar
SHIVSHANKAR,Bhagidari Party(P),Uttar Pradesh,Gorakhpur
PRATIMA MONDAL,Independent,West Bengal,Joynagar
DARBARA SINGH,Nationalist Justice Party,Punjab,Gurdaspur
REKHA RANI,Bahujan Samaj Party,Himachal Pradesh,KANGRA
RAJA RAM SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),Bihar,Karakat
RANJIT SINGH,Shiromani Akali Dal,Punjab,Ludhiana
HARWINDER KARWAL,Independent,Punjab,Anandpur Sahib
SANJAY RAJESH,Karpoori Janta Dal,Bihar,Nalanda
DR. PALWINDER KAUR,Independent,Punjab,Ludhiana
RAMESH LAL,National Republic Party Of India,Punjab,Gurdaspur
PARKASH PETER,Independent,Punjab,Fatehgarh Sahib
UJARAN MUSHAR,Jan Janwadi Party,Bihar,Sasaram
RANJIT KUMAR,Bahujan Samaj Party,Punjab,Hoshiarpur
PINTU SAHANI,Independent,Uttar Pradesh,Gorakhpur
SWAPAN DAS,Independent,West Bengal,Kolkata Uttar
MEGHNATH HALDER,All India Secular Front,West Bengal,Joynagar
SUSHIL KUMAR,Bharatiya Janata Party,Punjab,Jalandhar
SHIV KUMAR SINGH,Apna Kisan Party,Bihar,Patliputra
ARUN KUMAR,Independent,Bihar,Jahanabad
HARJINDER PAL,Independent,Punjab,Amritsar
S MUKHTAR AHMED,Independent,West Bengal,Barasat
RANJIT SINGH,Akhil Bhartiya Parivar Party,Punjab,Patiala
SIMRANDEEP SINGH,Independent,Punjab,Ludhiana
HARSIMRAT KAUR,Shiromani Akali Dal,Punjab,Bathinda
DALJIT SINGH CHEEMA,Shiromani Akali Dal,Punjab,Gurdaspur
AMAL KUMAR DEY,Independent,West Bengal,Kolkata Uttar
JURAN CHANDRA PANDEY,Mulnibasi Party of India,West Bengal,Joynagar
MAKHAN SINGH,Independent,Punjab,Patiala
VIJAY INDER SINGLA,Indian National Congress,Punjab,Anandpur Sahib
MANMOHAN SINGH,Rashtrawadi Janlok Party (Satya),Bihar,Arrah
AMAL KUMAR DEY,Independent,West Bengal,Kolkata Uttar
