Candidate,Party,Status,State,Constituency
ROHTASH, Independent, Accepted, Punjab, Anandpur Sahib
RAJU NARU, Bharatiya Nyay-Adhikar Raksha Party, Accepted, West Bengal, Jadavpur
JASAKARAN SINGH SIDHU, Independent, Accepted, Punjab, Firozpur
VIRENDRA CHAUDHARY, Indian National Congress, Accepted, Uttar Pradesh, Maharajganj
GURMIT SINGH, Independent, Accepted, Punjab, Anandpur Sahib
RAKHEE GUPTA, Independent, Accepted, Himachal Pradesh, MANDI
GURPREET SINGH, Aam Aadmi Party, Accepted, Punjab, Fatehgarh Sahib
BHAIRABA PRASAD BEHERA, Independent, Accepted, Odisha, Jajpur
DHARAMVIRA GANDHI, Indian National Congress, Accepted, Punjab, Patiala
SIMPLE KUMAR, Independent, Accepted, Punjab, Anandpur Sahib
CHANDI, Independent, Accepted, Punjab, Ludhiana
VIRENDRA CHAUDHARY, Indian National Congress, Accepted, Uttar Pradesh, Maharajganj
HEMLATA, Jagrook Janta Party, Accepted, Bihar, Buxar
NAND LAL, Independent, Accepted, Himachal Pradesh, HAMIRPUR
DEV RAJ, Rashtriya Samaj Dal (R), Accepted, Himachal Pradesh, KANGRA
RAM CHARAN, Jan Janwadi Party, Accepted, Uttar Pradesh, Ghazipur
PARAMJIT SINGH, Independent, Accepted, Punjab, Patiala
PARAMJIT SINGH, Independent, Accepted, Punjab, Ludhiana
RAJESH, Democratic Bharatiya Samaj Party, Accepted, Punjab, Hoshiarpur
GURPREET SINGH, Aam Aadmi Party, Accepted, Punjab, Fatehgarh Sahib
RAM CHARAN, Jan Janwadi Party, Accepted, Uttar Pradesh, Ghazipur
BALBIR SINGH, Aam Aadmi Party, Accepted, Punjab, Patiala
VIRENDRA CHAUDHARY, Indian National Congress, Accepted, Uttar Pradesh, Maharajganj
BALWINDER SINGH SEKHON, Independent, Accepted, Punjab, Sangrur
HARPAL SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Khadoor Sahib
PRADEEP KUMAR JOSHI, Rashtra Sewa Dal, Accepted, Bihar, Karakat
MANOJ KUMAR, Indian National Congress, Accepted, Bihar, Sasaram
ER DALJEET SINGH, Bharatheeya Jawan Kisan Party, Accepted, Punjab, Anandpur Sahib
DR SUBHASH SHARMA, Bharatiya Janata Party, Accepted, Punjab, Anandpur Sahib
KULDEEP KUMAR SHARMA, Independent, Accepted, Punjab, Ludhiana
DEEPANSHU SHARMA, Akhil Bhartiya Parivar Party, Accepted, Chandigarh, Chandigarh
SHOBHANATH, Bhagidari Party(P), Accepted, Uttar Pradesh, Chandauli
MANJIT KAUR SEKHON, Independent, Accepted, Punjab, Sangrur
NEERAJ KUMAR, Independent, Accepted, Punjab, Patiala
ANANTA PRASAD SETHI, Indian National Congress, Accepted, Odisha, Bhadrak
ANANTA PRASAD SETHI, Indian National Congress, Accepted, Odisha, Bhadrak
GURDEEP SINGH, Independent, Accepted, Punjab, Jalandhar
RAMJAAN KHAN, Independent, Accepted, Punjab, Anandpur Sahib
KAMALJEET KAUR, Independent, Accepted, Punjab, Fatehgarh Sahib
BALBIR SINGH, Aam Aadmi Party, Accepted, Punjab, Patiala
MADHURI KUMARI, All India Forward Bloc, Accepted, Bihar, Patliputra
RESHAM LAL, Independent, Accepted, Punjab, Firozpur
SATPAL, Independent, Accepted, Punjab, Hoshiarpur
NARENDRA MALIKA, Independent, Accepted, Odisha, Jajpur
MAHINDER SINGH, Independent, Accepted, Punjab, Khadoor Sahib
DR SUBHASH SHARMA, Bharatiya Janata Party, Accepted, Punjab, Anandpur Sahib
JEEVAN KUMAR, Akhil Bhartiya Parivar Party, Accepted, Himachal Pradesh, KANGRA
DR SUBHASH SHARMA, Bharatiya Janata Party, Accepted, Punjab, Anandpur Sahib
DR DEV INDER GAGALANI, Republican Party of India, Accepted, Punjab, Faridkot
LAKHBIR SINGH, Independent, Accepted, Punjab, Khadoor Sahib
NARENDRA MALIKA, Independent, Accepted, Odisha, Jajpur
KARNAIL SINGH, Independent, Accepted, Punjab, Ludhiana
KUNDAN LAL KASHYAP, Independent, Accepted, Himachal Pradesh, SHIMLA
MILAN NASKAR, Independent, Accepted, West Bengal, Joynagar
MANISH KUMAR, Bahujan Samaj Party, Accepted, Uttar Pradesh, Mirzapur
ANJAN DAS, Ambedkarite Party of India, Accepted, Odisha, Bhadrak
BAHADAR SINGH, Independent, Accepted, Punjab, Patiala
NUSRAT ANSARI, Independent, Accepted, Uttar Pradesh, Ghazipur
RAJ PRINCE SINGH, Super Power India Party, Accepted, Chandigarh, Chandigarh
BHAGWAN SINGH YADAV, Independent, Accepted, Bihar, Buxar
AMRITPAL SINGH, Independent, Accepted, Punjab, Khadoor Sahib
BALWINDER SINGH, Jan Sewa Driver Party, Accepted, Punjab, Firozpur
SUDHIR KUMAR, Sanyukt Kisan Vikas Party, Accepted, Bihar, Nalanda
DHARMINDER SINGH HARMAN, Akhil Bhartiya Parivar Party, Accepted, Punjab, Anandpur Sahib
SANTOSH KUMAR, Bahujan Samaj Party, Accepted, Bihar, Sasaram
SANT SEWAK, Independent, Accepted, Punjab, Gurdaspur
ANSHUL AVIJIT, Indian National Congress, Accepted, Bihar, Patna Sahib
AFZAL ANSARI, Samajwadi Party, Accepted, Uttar Pradesh, Ghazipur
DARSHAN SINGH, Punjab National Party, Accepted, Punjab, Anandpur Sahib
ANSHUL AVIJIT, Indian National Congress, Accepted, Bihar, Patna Sahib
AFZAL ANSARI, Samajwadi Party, Accepted, Uttar Pradesh, Ghazipur
GURCHARAN SINGH, Independent, Accepted, Punjab, Firozpur
SHIVAM YADAV, Global Republican Party, Accepted, Punjab, Ludhiana
RANPREET SINGH, Independent, Accepted, Chandigarh, Chandigarh
SURENDER KUMAR, Independent, Accepted, Himachal Pradesh, HAMIRPUR
ANSHUL AVIJIT, Indian National Congress, Accepted, Bihar, Patna Sahib
AMRIK SINGH, Independent, Accepted, Punjab, Faridkot
ANSHUL AVIJIT, Indian National Congress, Accepted, Bihar, Patna Sahib
SATYADEV, Purvanchal Mahapanchayat, Accepted, Uttar Pradesh, Mirzapur
RAJINDER KAUR, Sainik Samaj Party, Accepted, Chandigarh, Chandigarh
KANIYA LAL, Independent, Accepted, Punjab, Ludhiana
BASANTA KUMAR MAHALIK, Independent, Accepted, Odisha, Bhadrak
GURBACHAN SINGH, Independent, Accepted, Punjab, Patiala
MANTU SETHI, Janta Darbar Party, Accepted, Odisha, Jajpur
GURPREET SINGH, Jan Sewa Driver Party, Accepted, Punjab, Bathinda
ANIL KUMAR, Bahujan Samaj Party, Accepted, Bihar, Buxar
AMAR SINGH, Indian National Congress, Accepted, Punjab, Fatehgarh Sahib
ANIL KUMAR, Bahujan Samaj Party, Accepted, Bihar, Buxar
JASWANT SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Hoshiarpur
SAUDAGAR ALI, Independent, Accepted, Uttar Pradesh, Ghosi
VIVEK SHARMA, Independent, Accepted, Chandigarh, Chandigarh
AMIT KUMAR ALBELA, Independent, Accepted, Bihar, Patna Sahib
VIJAY, Socialist Unity Centre Of India (COMMUNIST), Accepted, Uttar Pradesh, Ghosi
NARENDRA MODI, Bharatiya Janata Party, Accepted, Uttar Pradesh, Varanasi
ADVOCATE SANJAY SHARMA, Independent, Accepted, Himachal Pradesh, KANGRA
AMRITPAL SINGH, Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann), Accepted, Punjab, Ludhiana
SONIA, Republican Party of India (Athawale), Accepted, Punjab, Jalandhar
SUMANTA MALIK, Independent, Accepted, Odisha, Jajpur
DR. SANDEEP SAURAV, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Nalanda
BHAGWANT SINGH, Independent, Accepted, Punjab, Bathinda
NIRBHAY YADAV, Independent, Accepted, Bihar, Buxar
PARGAT SINGH RAJEANA, Apna Samaj Party, Accepted, Punjab, Faridkot
DR. SANDEEP SAURAV, Communist Party of India  (Marxist-Leninist)  (Liberation), Accepted, Bihar, Nalanda
ANUPRIYA SINGH PATEL, Apna Dal (Soneylal), Accepted, Uttar Pradesh, Mirzapur
DAVINDER SINGH, Independent, Accepted, Punjab, Anandpur Sahib
SIMRANJEET SINGH, Independent, Accepted, Punjab, Khadoor Sahib
NAND LAL RAM, Rashtriya Samaj Paksha, Accepted, Bihar, Sasaram
KULWINDER SINGH, Democratic Bharatiya Samaj Party, Accepted, Punjab, Anandpur Sahib
RAMPRIT, Independent, Accepted, Uttar Pradesh, Maharajganj
MANISH TEWARI, Indian National Congress, Accepted, Chandigarh, Chandigarh
RAVI KANT MUNI, Independent, Accepted, Chandigarh, Chandigarh
MANISH TEWARI, Indian National Congress, Accepted, Chandigarh, Chandigarh
RAKESH KUMAR, Sunahara Bharat Party, Accepted, Punjab, Ludhiana
PREM SINGH, Independent, Accepted, Punjab, Firozpur
ANIL KUMAR CHAND, Socialist Unity Centre Of India (COMMUNIST), Accepted, Bihar, Patliputra
PARDEEP KUMAR, Apni Ekta Party, Accepted, Punjab, Sangrur
LALJI VERMA, Independent, Accepted, Uttar Pradesh, Mirzapur
RAJWANT KAUR, Apna Samaj Party, Accepted, Punjab, Jalandhar
PREM CHAND, Independent, Accepted, Uttar Pradesh, Ghosi
NITESH KUMAR, Adarsh Jankalyan Dal, Accepted, Bihar, Patliputra
GURDEEP SINGH KAHLON, Independent, Accepted, Punjab, Ludhiana
RAJA SINGH, Independent, Accepted, Punjab, Sangrur
SUMIT, Akhil Bhartiya Parivar Party, Accepted, Himachal Pradesh, HAMIRPUR
NAIB SINGH, Independent, Accepted, Punjab, Fatehgarh Sahib
MANISH TEWARI, Indian National Congress, Accepted, Chandigarh, Chandigarh
SANTOSH KAUR, Independent, Accepted, Punjab, Gurdaspur
AMIT KUMAR AMBEDKAR, Bahujan Mukti Party, Accepted, Bihar, Sasaram
NARENDRA MODI, Bharatiya Janata Party, Accepted, Uttar Pradesh, Varanasi
BHUVNESH KUMAR, Rashtriya Devbhumi Party, Accepted, Himachal Pradesh, KANGRA
RAJENDRA KUMAR AGRAWAL, Independent, Accepted, Uttar Pradesh, Ghosi
GURMEET SINGH, Independent, Accepted, Punjab, Faridkot
SUNIL, Bahujan Mukti Party, Accepted, Uttar Pradesh, Maharajganj
ANAND MISHRA, Independent, Accepted, Bihar, Buxar
NARENDRA MODI, Bharatiya Janata Party, Accepted, Uttar Pradesh, Varanasi
SUMIT RANJAN SINHA, Akhand Bharat Janpriya Party, Accepted, Bihar, Patna Sahib
NARENDRA MODI, Bharatiya Janata Party, Accepted, Uttar Pradesh, Varanasi
DR. BIPLAB CHANDRA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Kolkata Uttar
MANISH TEWARI, Indian National Congress, Accepted, Chandigarh, Chandigarh
SUMIT RANJAN SINHA, Akhand Bharat Janpriya Party, Accepted, Bihar, Patna Sahib
GAGAN PRAKASH, Apna Dal (Kamerawadi), Accepted, Uttar Pradesh, Varanasi
SANTOSH KUMAR PATRA, Independent, Accepted, Odisha, Kendrapara
BAL MUKAND, Independent, Accepted, Punjab, Jalandhar
GURMEET SINGH, Independent, Accepted, Punjab, Bathinda
KARAMJIT SINGH ANMOL, Aam Aadmi Party, Accepted, Punjab, Faridkot
TALA MARANDI, Bharatiya Janata Party, Accepted, Jharkhand, Rajmahal
RUPINDER KUMAR, Independent, Accepted, Punjab, Ludhiana
TALA MARANDI, Bharatiya Janata Party, Accepted, Jharkhand, Rajmahal
KARAMJIT SINGH ANMOL, Aam Aadmi Party, Accepted, Punjab, Faridkot
KARAMJIT SINGH ANMOL, Aam Aadmi Party, Accepted, Punjab, Faridkot
