Candidate,Party,Status,State,Constituency
VASANTH KUMAR ERAPPA, Independent, Accepted, Karnataka, Bangalore central
ADV BHIMRAO SHENDE, Bahujan Republican  Socialist Party, Accepted, Maharashtra, Ramtek
C. SENAPATHI, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
M MUKESH, Communist Party of India  (Marxist), Accepted, Kerala, Kollam
ABHAY KUMAR SINHA, Rashtriya Janata Dal, Accepted, Bihar, Aurangabad
PRAKASH. R.A. JAIN, Independent, Accepted, Karnataka, Tumkur
P K AMMAN G SIVAKUMAR, Independent, Accepted, Tamil Nadu, PERAMBALUR
GIRIDHAR SAPERA, The National Road Map Party of India, Accepted, Bihar, Gaya
M MUKESH, Communist Party of India  (Marxist), Accepted, Kerala, Kollam
SUPREETH KUMAR POOJARY  KATEEL, Janata Dal  (United), Accepted, Karnataka, Dakshina Kannada
ABHAY KUMAR SINHA, Rashtriya Janata Dal, Accepted, Bihar, Aurangabad
ABHAY KUMAR SINHA, Rashtriya Janata Dal, Accepted, Bihar, Aurangabad
ABHAY KUMAR SINHA, Rashtriya Janata Dal, Accepted, Bihar, Aurangabad
NINGARAJU.S, Karnataka Jantha Paksha, Accepted, Karnataka, Chamarajanagar
MAHESH A V, Karnataka Rashtra Samithi, Accepted, Karnataka, Kolar
DR. M. JYOTHIRAJ, Socialist Unity Centre Of India (COMMUNIST), Accepted, Kerala, Kozhikode
MANNA LAL RAWAT, Bharatiya Janata Party, Accepted, Rajasthan, UDAIPUR
"BENNYRAJAN, C.J.", Bharatiya Praja Aikyata Party, Accepted, Tamil Nadu, TIRUVANNAMALAI
MANNA LAL RAWAT, Bharatiya Janata Party, Accepted, Rajasthan, UDAIPUR
DR. M. JYOTHIRAJ, Socialist Unity Centre Of India (COMMUNIST), Accepted, Kerala, Kozhikode
D K SURESH, Indian National Congress, Accepted, Karnataka, Bangalore Rural
MANNA LAL RAWAT, Bharatiya Janata Party, Accepted, Rajasthan, UDAIPUR
MANNA LAL RAWAT, Bharatiya Janata Party, Accepted, Rajasthan, UDAIPUR
"AGNI SELVARASU, J.", Naadaalum Makkal Katchi, Accepted, Tamil Nadu, TIRUVANNAMALAI
R. NARAYANAPPA, Independent, Accepted, Karnataka, Tumkur
D K SURESH, Indian National Congress, Accepted, Karnataka, Bangalore Rural
SUNIL UTTAMRAO SALVE, Independent, Accepted, Maharashtra, Ramtek
H. P. SHIVAPRAKASH, Socialist Unity Centre Of India (COMMUNIST), Accepted, Karnataka, Bangalore central
K.T. RADHAKRISHNA, Bahujan Samaj Party, Accepted, Karnataka, Udupi Chikmagalur
H. P. SHIVAPRAKASH, Socialist Unity Centre Of India (COMMUNIST), Accepted, Karnataka, Bangalore central
"MURUGESAN, D.", Independent, Accepted, Tamil Nadu, ARANI
DEVARAJ M.Y, Karnataka Rashtra Samithi, Accepted, Karnataka, Hassan
T. KAVIYARASU, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
DR HARISH GOWDA, Independent, Accepted, Karnataka, Bangalore South
ARCHANA KUMARI, Rashtriya Janata Dal, Accepted, Bihar, Jamui
SURESH PRASAD VERMA, Independent, Accepted, Bihar, Aurangabad
COMRADE SUNIL T. R, Socialist Unity Centre Of India (COMMUNIST), Accepted, Karnataka, Mysore
BHASKAR ANKALAMADUGU SHIVAREDDY, Independent, Accepted, Karnataka, Chikkballapur
PANNERSELVAM O  S/O  OCHATTHEVAR, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
M. S. PRAVEEN, Karnataka Rashtra Samithi, Accepted, Karnataka, Mysore
R.G. SATHISHA RAMEDEVARAPURA, Independent, Accepted, Karnataka, Hassan
AYUSH KUMAR, Independent, Accepted, Bihar, Gaya
GOKULAM SURESH KUMAR, Independent, Accepted, Kerala, Kollam
TARUN GOCHAR, Right to Recall Party, Accepted, Rajasthan, KOTA
KARTHICK T, Independent, Accepted, Tamil Nadu, COIMBATORE
KRITI DEVI DEBBARMAN, Bharatiya Janata Party, Accepted, Tripura, Tripura East
K. SAMPATH, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
ARCHANA KUMARI, Rashtriya Janata Dal, Accepted, Bihar, Jamui
S.SATHISH KUMAR, Independent, Accepted, Tamil Nadu, CHENNAI CENTRAL
SANTOSH KUMAR, Janata Dal  (United), Accepted, Bihar, Purnia
LAROKAR SURESH PUNDLIK, Independent, Accepted, Maharashtra, Ramtek
SUSHMA KUMARI, Bahujan Samaj Party, Accepted, Bihar, Gaya
ARVIND SHIVAJI TANDEKAR, Independent, Accepted, Maharashtra, Ramtek
SUSHMA KUMARI, Bahujan Samaj Party, Accepted, Bihar, Gaya
MUTHUKUMAR, Independent, Accepted, Tamil Nadu, THENI
ARCHANA KUMARI, Rashtriya Janata Dal, Accepted, Bihar, Jamui
AJAY BAKARAM CHAVAN, Independent, Accepted, Maharashtra, Ramtek
ARCHANA KUMARI, Rashtriya Janata Dal, Accepted, Bihar, Jamui
PARIRAJAN C, Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi, Accepted, Tamil Nadu, RAMANATHAPURAM
RAGHUPATHI BHAT, Karnataka Rashtra Samithi, Accepted, Karnataka, Bangalore South
R.VINAYAGAMOORTHY, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
PRADEEP  DHOBALE, Independent, Accepted, Maharashtra, Bhandara Gondiya
CHANDRASHEKARA. K.R (CHANDRU KEELARA), Karnataka Rashtra Samithi, Accepted, Karnataka, Mandya
SIDDHARTH GADIJI PATIL, Peoples Party of India (Democratic), Accepted, Maharashtra, Ramtek
"DHARANI, D.", Independent, Accepted, Tamil Nadu, ARANI
NIRMALA H.L, Socialist Unity Centre Of India (COMMUNIST), Accepted, Karnataka, Bangalore North
"VIMAL, V.", Independent, Accepted, Tamil Nadu, TIRUVANNAMALAI
PAWAN KUMAR SHARMA, Right to Recall Party, Accepted, Rajasthan, BHILWARA
PRAKASH. K, Karnataka Rashtra Samithi, Accepted, Karnataka, Bangalore central
"KALIYAPERUMAL, A.", Independent, Accepted, Tamil Nadu, TIRUVANNAMALAI
KRITI DEVI DEBBARMAN, Bharatiya Janata Party, Accepted, Tripura, Tripura East
SURENDRA MANJHI, Rashtriya Jansambhavna Party, Accepted, Bihar, Gaya
RIDDHESHWAR ANANDRAO BELEY, Republican Party of India (A), Accepted, Maharashtra, Ramtek
KRITI DEVI DEBBARMAN, Bharatiya Janata Party, Accepted, Tripura, Tripura East
SHAJU PALIYODU, Independent, Accepted, Kerala, Thiruvananthapuram
SANJAY NILKANTH GAWANDE, Independent, Accepted, Maharashtra, Chandrapur
KRITI DEVI DEBBARMAN, Bharatiya Janata Party, Accepted, Tripura, Tripura East
VILAS SHRIPAT KHADSE, Independent, Accepted, Maharashtra, Ramtek
"SENTHIL KUMAR, D.", Independent, Accepted, Tamil Nadu, ARANI
NIRMALA H.L, Socialist Unity Centre Of India (COMMUNIST), Accepted, Karnataka, Bangalore North
KUMAR, Independent, Accepted, Tamil Nadu, THENI
SANTOSH KUMAR DAS, Socialist Unity Centre Of India (COMMUNIST), Accepted, Bihar, Jamui
V.V.TAMILARASAN, Independent, Accepted, Tamil Nadu, CHENNAI CENTRAL
PREMKUMAR DASHRATH GAJBHARE, Independent, Accepted, Maharashtra, Ramtek
SATHISH. B, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
C.M. SHABAZ KHAN, Young Star Empowerment Party, Accepted, Karnataka, Bangalore central
K.CHANDRASEKAR, Naadaalum Makkal Katchi, Accepted, Tamil Nadu, CHENNAI CENTRAL
S MINI, Socialist Unity Centre Of India (COMMUNIST), Accepted, Kerala, Thiruvananthapuram
SAKALDEO DAS, Bahujan Samaj Party, Accepted, Bihar, Jamui
"KARVANNAN, K.", Independent, Accepted, Tamil Nadu, ARANI
JAYALAKSHMI SUNDARA RAJAN, Independent, Accepted, Karnataka, Bangalore central
SANATAN DUTTA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Raiganj
RICHARD VINCENT, Viro Ke Vir Indian Party, Accepted, Tamil Nadu, COIMBATORE
HARIKRISHNAKUMAR R, Independent, Accepted, Tamil Nadu, THENI
MOHAMMAD WAHID KHAN, Pehchan People’s Party, Accepted, Rajasthan, CHITTORGARH
SAKALDEO DAS, Bahujan Samaj Party, Accepted, Bihar, Jamui
TWINKLE PRABHAKARAN, Socialist Unity Centre Of India (COMMUNIST), Accepted, Kerala, Kollam
ARUNKANTH V, Independent, Accepted, Tamil Nadu, COIMBATORE
DEVENDRA PRATAP, Independent, Accepted, Bihar, Gaya
J J RUSSELL, Independent, Accepted, Kerala, Thiruvananthapuram
SHIVAKUMAR. B, Karnataka Rashtra Samithi, Accepted, Karnataka, Bangalore North
"GANESH KUMAR, U.", Independent, Accepted, Tamil Nadu, ARANI
RANJAN KUMAR, Independent, Accepted, Bihar, Gaya
M.L ASHWINI, Bharatiya Janata Party, Accepted, Kerala, Kasaragod
KARTIK GENDLALJI DOKE, Independent, Accepted, Maharashtra, Ramtek
"RAMESH , T.P.", Independent, Accepted, Tamil Nadu, TIRUVANNAMALAI
JAGDISH RAJ, Bahujan Samaj Party, Accepted, Jammu and Kashmir, JAMMU
M.L ASHWINI, Bharatiya Janata Party, Accepted, Kerala, Kasaragod
MUTHUKUMAR, Independent, Accepted, Tamil Nadu, PERAMBALUR
M.L ASHWINI, Bharatiya Janata Party, Accepted, Kerala, Kasaragod
DIWAKAR HARIJI URADE, Independent, Accepted, Maharashtra, Chandrapur
KAILASH CHOUDHARY, Bharatiya Janata Party, Accepted, Rajasthan, BARMER
KAILASH CHOUDHARY, Bharatiya Janata Party, Accepted, Rajasthan, BARMER
KAILASH CHOUDHARY, Bharatiya Janata Party, Accepted, Rajasthan, BARMER
MUTHUSAMY P P, Independent, Accepted, Tamil Nadu, COIMBATORE
JAGDISH PRASAD, Loktantrik Samajik Nyay Party, Accepted, Bihar, Jamui
BIRENDRA NATH MAHANTA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Balurghat
KANNADHASAN R, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
BIRENDRA NATH MAHANTA, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Balurghat
JAGDISH PRASAD, Loktantrik Samajik Nyay Party, Accepted, Bihar, Jamui
SASIKANI K, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
GAUTAM KUMAR BABLOO, Bhagidari Party(P), Accepted, Bihar, Nawada
RAJKUMAR G B, Independent, Accepted, Tamil Nadu, COIMBATORE
ANNAMALAI K, Bharatiya Janata Party, Accepted, Tamil Nadu, COIMBATORE
ASHOK KUMAR PASWAN, Independent, Accepted, Bihar, Gaya
SHRAWAN KUMAR, Rashtriya Janata Dal, Accepted, Bihar, Nawada
AMRESH KUMAR, Independent, Accepted, Bihar, Gaya
RAJKUMAR G, Independent, Accepted, Tamil Nadu, COIMBATORE
SUBHASH PASWAN, Independent, Accepted, Bihar, Jamui
ABUBAKKAR SITHICK J, Desiya Makkal Sakthi Katchi, Accepted, Tamil Nadu, RAMANATHAPURAM
SHRAWAN KUMAR, Rashtriya Janata Dal, Accepted, Bihar, Nawada
C. SRIDHAR, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
AMRESH KUMAR, Independent, Accepted, Bihar, Gaya
SHEO SHANKAR, Bhartiya Lok Chetna Party, Accepted, Bihar, Gaya
DHEERENDRA PRASAD, Loktantrik Samajwadi Party, Accepted, Bihar, Gaya
RAMJIT SINGH, Rashtriya Jansambhavna Party, Accepted, Bihar, Aurangabad
VIGNESH V, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
ARUN BHARTI, Lok Janshakti Party(Ram Vilas), Accepted, Bihar, Jamui
SANJAY GAJANAN KEWAT, Vanchit Bahujan  Aaghadi, Accepted, Maharashtra, Bhandara Gondiya
GANAPATHY RAJKUMAR P, Dravida Munnetra Kazhagam, Accepted, Tamil Nadu, COIMBATORE
GANAPATHY RAJKUMAR P, Dravida Munnetra Kazhagam, Accepted, Tamil Nadu, COIMBATORE
THANGAMANI K, Independent, Accepted, Tamil Nadu, PERAMBALUR
ARUN BHARTI, Lok Janshakti Party(Ram Vilas), Accepted, Bihar, Jamui
ARUN BHARTI, Lok Janshakti Party(Ram Vilas), Accepted, Bihar, Jamui
ARUN BHARTI, Lok Janshakti Party(Ram Vilas), Accepted, Bihar, Jamui
R.C. PAUL KANAGARAJ, Bharatiya Janata Party, Accepted, Tamil Nadu, CHENNAI NORTH
GANAURI PANDIT, Peoples Party of India (Democratic), Accepted, Bihar, Nawada
ARUN NEHRU, Independent, Accepted, Tamil Nadu, PERAMBALUR
SRAWON KUMAR, Rashtriya Jansambhavna Party, Accepted, Bihar, Jamui
R. SENTHIL KUMAR, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
BHUPENDRA LEPCHA, Independent, Accepted, West Bengal, Darjeeling
V.P. RAVIKKARAN, Independent, Accepted, Tamil Nadu, CHENNAI SOUTH
SENTHILMALLAR K, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
SHAILESH RAHI, Akhil Hind Forward Bloc (Krantikari), Accepted, Bihar, Aurangabad
SELVARAJ G, Puthiya Makkal Tamil Desam Katchi, Accepted, Tamil Nadu, RAMANATHAPURAM
GOPAL LAMA, All India Trinamool Congress, Accepted, West Bengal, Darjeeling
GOPAL LAMA, All India Trinamool Congress, Accepted, West Bengal, Darjeeling
RAMACHANDRAN M, Independent, Accepted, Tamil Nadu, COIMBATORE
SUNESH KUMAR, Bahujan Samaj Party, Accepted, Bihar, Aurangabad
SHAHRIAR ALAM, Socialist Unity Centre Of India (COMMUNIST), Accepted, West Bengal, Darjeeling
K.C.JAYAPRAKASH, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
VIVEK THAKUR, Bharatiya Janata Party, Accepted, Bihar, Nawada
VIVEK THAKUR, Bharatiya Janata Party, Accepted, Bihar, Nawada
DINESH K, Independent, Accepted, Tamil Nadu, COIMBATORE
VIVEK THAKUR, Bharatiya Janata Party, Accepted, Bihar, Nawada
SALEEM, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
VIVEK THAKUR, Bharatiya Janata Party, Accepted, Bihar, Nawada
SANJAYKUMAR S, Independent, Accepted, Tamil Nadu, COIMBATORE
NAWASKHAN, Independent, Accepted, Tamil Nadu, RAMANATHAPURAM
RANJIT KUMAR, Bahujan Samaj Party, Accepted, Bihar, Nawada
RAVINDRA SINGH SHEKHAWAT, Independent, Accepted, Rajasthan, SIKAR
BABU S, Independent, Accepted, Tamil Nadu, MAYILADUTHURAI
NABAM TUKI, Indian National Congress, Accepted, Arunachal Pradesh, Arunachal West
SUNIL BABURAO MENDHE, Bharatiya Janata Party, Accepted, Maharashtra, Bhandara Gondiya
P KUPPUSAMY, Ulzaipali Makkal Katchy, Accepted, Tamil Nadu, ERODE
PUSHPARAJ. N, Independent, Accepted, Tamil Nadu, KARUR
VASANTHA SARAVANAN, Independent, Accepted, Tamil Nadu, THENI
RAJENDRA DONGRE, Independent, Accepted, Madhya Pradesh, CHHINDWARA
RADHAKRISHNAN P, Bharatiya Janata Party, Accepted, Tamil Nadu, KANNIYAKUMARI
TOPON KUMAR GOGOI, Bharatiya Janata Party, Accepted, Assam, Jorhat
DEVADASS RAMASAMY, Pattali Makkal Katchi, Accepted, Tamil Nadu, KALLAKURICHI
DEEPENDRA SINGH NEGI, Independent, Accepted, Uttarakhand, Garhwal
NEHA SINGH GURJAR, Independent, Accepted, Rajasthan, JAIPUR RURAL
AMBIVENKATESAN, Independent, Accepted, Tamil Nadu, TIRUCHIRAPPALLI
VIVEKANANDHAN. E, Independent, Accepted, Tamil Nadu, VILUPPURAM
MEHMOOD PRACHA, Independent, Accepted, Uttar Pradesh, Rampur
TAPIR GAO, Bharatiya Janata Party, Accepted, Arunachal Pradesh, Arunachal East
JAGADHEESAN C, Viro Ke Vir Indian Party, Accepted, Tamil Nadu, KRISHNAGIRI
RAMESH. S, Independent, Accepted, Tamil Nadu, KANCHEEPURAM
ANTONY MICHAEL J, Independent, Accepted, Tamil Nadu, KANNIYAKUMARI
KANHAIYA LAL MEENA, Bharatiya Janata Party, Accepted, Rajasthan, DAUSA
DEEPAK KUMAR, Independent, Accepted, Uttar Pradesh, Bijnor
A MUTHAIAH, Independent, Accepted, Tamil Nadu, TENKASI
RAGHAV LAKHANPAL, Bharatiya Janata Party, Accepted, Uttar Pradesh, Saharanpur
N.NARAYANASWAMY, Independent, Accepted, Tamil Nadu, CHENNAI SOUTH
MURARI LAL MEENA, Indian National Congress, Accepted, Rajasthan, DAUSA
HITESH PANDURANG MADAVI, Vanchit Bahujan  Aaghadi, Accepted, Maharashtra, Gadchiroli - Chimur
RADHAKRISHNAN P, Bharatiya Janata Party, Accepted, Tamil Nadu, KANNIYAKUMARI
MURASOLI S, Dravida Munnetra Kazhagam, Accepted, Tamil Nadu, THANJAVUR
ASLAM LILGAR, Independent, Accepted, Rajasthan, CHURU
JOTHIVEL. A, Independent, Accepted, Tamil Nadu, KARUR
PRADEEP VERMA, Indian Peoples Green Party, Accepted, Rajasthan, JAIPUR
TAPIR GAO, Bharatiya Janata Party, Accepted, Arunachal Pradesh, Arunachal East
TULSIRAM URKUDA GEDAM, Independent, Accepted, Maharashtra, Bhandara Gondiya
KESHKALI BAIGA, Independent, Accepted, Madhya Pradesh, SHAHDOL
RAGHAV LAKHANPAL, Bharatiya Janata Party, Accepted, Uttar Pradesh, Saharanpur
ARJUN INDWAR, Independent, Accepted, West Bengal, Alipurduars
RAJEEV KUMAR SAXENA, Bhartiya Krishak Dal, Accepted, Uttar Pradesh, Pilibhit
HITESH PATHAK, Independent, Accepted, Uttarakhand, Nainital-Udhamsingh Nagar
ANGOMCHA BIMOL AKOIJAM, Indian National Congress, Accepted, Manipur, Inner Manipur
RAMESH T, Ahimsa Socialist Party, Accepted, Tamil Nadu, NAMAKKAL
JAMIL AHMAD, Bahujan Samaj Party, Accepted, Uttarakhand, Haridwar
MEHMOOD PRACHA, Independent, Accepted, Uttar Pradesh, Rampur
S MASCO, Independent, Accepted, Puducherry, PUDUCHERRY
P SHANMUGAM, Independent, Accepted, Tamil Nadu, VELLORE
BIREN BAILUNG, Voters Party  International, Accepted, Assam, Lakhimpur
KAPIL SONI, Rashtriya Gondvana Party, Accepted, Madhya Pradesh, CHHINDWARA
VEPIN KUMAR AGGARWAL, Independent, Accepted, Uttarakhand, Tehri Garhwal
M PREMKUMAR, Independent, Accepted, Tamil Nadu, SRIPERUMBUDUR
DR K KRISHNASAMY, All India Anna Dravida Munnetra Kazhagam, Accepted, Tamil Nadu, TENKASI
K.KANNAN, Independent, Accepted, Tamil Nadu, CHENNAI SOUTH
JAMIL AHMAD, Bahujan Samaj Party, Accepted, Uttarakhand, Haridwar
BERRILA L, Independent, Accepted, Tamil Nadu, KANNIYAKUMARI
VILAS GANESH ZODAPE, Independent, Accepted, Maharashtra, Ramtek
ARUL INIYAN A, Independent, Accepted, Tamil Nadu, KALLAKURICHI
"Manimaran, V.", Independent, Accepted, Tamil Nadu, TIRUVALLUR
NABAM TUKI, Indian National Congress, Accepted, Arunachal Pradesh, Arunachal West
SALAMAT MONDAL, Socialist Unity Centre Of India (COMMUNIST), Accepted, Andaman & Nicobar Islands, Andaman & Nicobar Islands
SUBHASH LOKHANDE, Independent, Accepted, Maharashtra, Ramtek
AJAY BHAT, Republican Party of India (A), Accepted, Rajasthan, JAIPUR RURAL
KAMESWAR SWARGIARY, Voters Party  International, Accepted, Assam, Sonitpur
SUBRAMANI M, Tamilar Makkal Katchi, Accepted, Tamil Nadu, KRISHNAGIRI
RAJAPANDIAN. K, Independent, Accepted, Tamil Nadu, KARUR
"DURUGAN, M.", United Republican Party of India, Accepted, Tamil Nadu, ARANI
KARTHICK A, Samaniya Makkal Nala Katchi, Accepted, Tamil Nadu, MAYILADUTHURAI
PALANISAMY K, Independent, Accepted, Tamil Nadu, VIRUDHUNAGAR
SATHISH KANNA G T, Independent, Accepted, Tamil Nadu, DINDIGUL
S.MANIMARAN, Independent, Accepted, Tamil Nadu, CHENNAI SOUTH
GANGARAM SHARMA, Rashtriya Congress(J) Party, Accepted, Uttar Pradesh, Moradabad
KANNAN G, Independent, Accepted, Tamil Nadu, THOOTHUKKUDI
"ER. PRAVIN GAJBHIYE ""DADA""", Independent, Accepted, Madhya Pradesh, JABALPUR
CAPTAIN GOWTHAM, Independent, Accepted, Tamil Nadu, TIRUVANNAMALAI
RAO RAJENDRA SINGH, Bharatiya Janata Party, Accepted, Rajasthan, JAIPUR RURAL
R KUMARESAN, Independent, Accepted, Tamil Nadu, ERODE
SURAJ BALRAM MISHRA, Kunbi Bahujan Sawrajya Party, Accepted, Maharashtra, Nagpur
VIJAYAKUMAR (Alias) VIJAY VASANTH, Indian National Congress, Accepted, Tamil Nadu, KANNIYAKUMARI
PRAKASH P, Independent, Accepted, Tamil Nadu, POLLACHI
SIVAKUMAR V, Independent, Accepted, Tamil Nadu, NAMAKKAL
TOKO SHEETAL, Gana Suraksha Party, Accepted, Arunachal Pradesh, Arunachal West
RAO RAJENDRA SINGH, Bharatiya Janata Party, Accepted, Rajasthan, JAIPUR RURAL
MAHESHWAR THOUNAOJAM, Republican Party of India (Athawale), Accepted, Manipur, Inner Manipur
UDAY SHANKAR HAZARIKA, Indian National Congress, Accepted, Assam, Lakhimpur
VIKAS KUMAR, Independent, Accepted, Uttar Pradesh, Kairana
ASHOK KUMAR K, Independent, Accepted, Tamil Nadu, SIVAGANGA
CHAITRAM DASHARATH KOKASE, Independent, Accepted, Maharashtra, Bhandara Gondiya
RAVI BALARAMAN, Independent, Accepted, Tamil Nadu, CHENNAI CENTRAL
BHAGWAT SARAN GANGWAR, Samajwadi Party, Accepted, Uttar Pradesh, Pilibhit
"ER. PRAVIN GAJBHIYE ""DADA""", Independent, Accepted, Madhya Pradesh, JABALPUR
P RAJAN, Independent, Accepted, Puducherry, PUDUCHERRY
POTTAL SUNDARA MUNISWARAN, Independent, Accepted, Tamil Nadu, TIRUNELVELI
RAJA A, Dravida Munnetra Kazhagam, Accepted, Tamil Nadu, NILGIRIS
UDAY SHANKAR HAZARIKA, Indian National Congress, Accepted, Assam, Lakhimpur
PREM DAS RAI, Sikkim Democratic Front, Accepted, Sikkim, Sikkim
SHAHBAJ, Independent, Accepted, Uttar Pradesh, Saharanpur
THENMOZHI R, Naam Tamilar Katchi, Accepted, Tamil Nadu, PERAMBALUR
MARIA JENNIFER CLARA MICHAEL, Naam Tamilar Katchi, Accepted, Tamil Nadu, KANNIYAKUMARI
MUHAMMED HAMDULLAH SAYEED, Indian National Congress, Accepted, Lakshadweep, Lakshadweep
PERIYAN. A, Independent, Accepted, Tamil Nadu, VILUPPURAM
V P MANICKAM, Independent, Accepted, Puducherry, PUDUCHERRY
UDAY SHANKAR HAZARIKA, Indian National Congress, Accepted, Assam, Lakhimpur
""" PRAKASH ALIAS BANTY "" PARTETI", Rashtra Samarpan Party, Accepted, Madhya Pradesh, CHHINDWARA
KALIYA BAI KAKODIA, Independent, Accepted, Madhya Pradesh, MANDLA
PRADEEP TAMTA, Indian National Congress, Accepted, Uttarakhand, Almora
BIMPAK SIGA, Independent, Accepted, Arunachal Pradesh, Arunachal West
S KHO JOHN, Independent, Accepted, Manipur, Outer Manipur
ASHOKAN. M., Independent, Accepted, Tamil Nadu, DHARMAPURI
JEGANNATHAN A, Independent, Accepted, Tamil Nadu, SALEM
J. SATHISH, Independent, Accepted, Tamil Nadu, CHENNAI SOUTH
GANDHIMALLAR S M, Independent, Accepted, Tamil Nadu, THOOTHUKKUDI
VEDARETHINAM S, Anna MGR Dravida Makkal Kalgam, Accepted, Tamil Nadu, MAYILADUTHURAI
V. DAKSHANAAMURTHY, Independent, Accepted, Tamil Nadu, CUDDALORE
SANDIP SAHADEO MESHRAM, Bahujan Samaj Party, Accepted, Maharashtra, Ramtek
MUHAMMED HAMDULLAH SAYEED, Indian National Congress, Accepted, Lakshadweep, Lakshadweep
M SARAVANAN, Independent, Accepted, Tamil Nadu, SRIPERUMBUDUR
PRABU C, Independent, Accepted, Tamil Nadu, KALLAKURICHI
PREM DAS RAI, Sikkim Democratic Front, Accepted, Sikkim, Sikkim
SANTOSH KUMAR KUSHWAHA, Independent, Accepted, Madhya Pradesh, JABALPUR
PRADEEP TAMTA, Indian National Congress, Accepted, Uttarakhand, Almora
V N VENUGOPAL, Tamil Maanila Congress  (Moopanar), Accepted, Tamil Nadu, SRIPERUMBUDUR
SHEKHAWAT RAJENDRA SINGH, Independent, Accepted, Rajasthan, JHUNJHUNU
PRADEEP TAMTA, Indian National Congress, Accepted, Uttarakhand, Almora
P. JAYASELAN, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
V.P.SURESH, Independent, Accepted, Tamil Nadu, CHENNAI SOUTH
SMT. HIMADRI SINGH, Bharatiya Janata Party, Accepted, Madhya Pradesh, SHAHDOL
DURAIRAJ C, Independent, Accepted, Tamil Nadu, NAMAKKAL
JAGDISH NAG, Azad Janata Party, Accepted, Chhattisgarh, BASTAR
SASIKUMAR. P, Independent, Accepted, Tamil Nadu, TIRUCHIRAPPALLI
ANBUROSE D, Independent, Accepted, Tamil Nadu, DINDIGUL
KAMALAKANNAN M, Independent, Accepted, Tamil Nadu, KALLAKURICHI
BRIJENDRA SINGH OLA, Indian National Congress, Accepted, Rajasthan, JHUNJHUNU
VE VAITHILINGAM, Indian National Congress, Accepted, Puducherry, PUDUCHERRY
ALFRED KANNGAM S ARTHUR, Indian National Congress, Accepted, Manipur, Outer Manipur
VE VAITHILINGAM, Indian National Congress, Accepted, Puducherry, PUDUCHERRY
PRADEEP TAMTA, Indian National Congress, Accepted, Uttarakhand, Almora
MOHAN RAUT, Rashtravadi Bharat Party, Accepted, Madhya Pradesh, BALAGHAT
SATHASIVAM. R, Independent, Accepted, Tamil Nadu, KARUR
VEDHA @  DHAMODHARAN, Independent, Accepted, Tamil Nadu, VIRUDHUNAGAR
MAHESHWAR THOUNAOJAM, Republican Party of India (Athawale), Accepted, Manipur, Inner Manipur
SHOKINDER KUMAR, Independent, Accepted, Uttar Pradesh, Kairana
KAMRAN, Independent, Accepted, Uttar Pradesh, Saharanpur
KALAIRAJA  B, Independent, Accepted, Tamil Nadu, SIVAGANGA
ELANGOVAN. M, Independent, Accepted, Tamil Nadu, KANCHEEPURAM
BRIJENDRA SINGH OLA, Indian National Congress, Accepted, Rajasthan, JHUNJHUNU
GOBIN BISWAKARMA, Independent, Accepted, Assam, Lakhimpur
JAYABAL PM, Independent, Accepted, Tamil Nadu, KALLAKURICHI
ADVOCATE HARI KISHAN TIWARI, Bheem Tribal Congress, Accepted, Rajasthan, JAIPUR
SHYAMLAL VAISH, Bhartiya Shakti Chetna Party, Accepted, Madhya Pradesh, SIDHI
POORNESH KUMAR JAIN, Independent, Accepted, Madhya Pradesh, JABALPUR
PRAKASH P, Independent, Accepted, Tamil Nadu, THENI
LEKI NORBU, Independent, Accepted, Arunachal Pradesh, Arunachal West
SARAH FATHIMA, Independent, Accepted, Tamil Nadu, CHENNAI NORTH
ALFRED KANNGAM S ARTHUR, Indian National Congress, Accepted, Manipur, Outer Manipur
NAWIN KIRAN PRADHAN, Independent, Accepted, Sikkim, Sikkim
SANTHALINGAM C, Independent, Accepted, Tamil Nadu, SALEM
BABITA BARA, Gana Suraksha Party, Accepted, West Bengal, Alipurduars
"KALIAPERUMAL, M.", Independent, Accepted, Tamil Nadu, TIRUVANNAMALAI
EZHILARASI, Naam Tamilar Katchi, Accepted, Tamil Nadu, SIVAGANGA
GOPI DEEPAK, Independent, Accepted, Tamil Nadu, SRIPERUMBUDUR
GOBIN BISWAKARMA, Independent, Accepted, Assam, Lakhimpur
